"","Region","Modification","Frequency","axisGroup","Expression","SampleGenes"
"64","Gene20","H3-3",55,20,"No Expression","clusteredNLRs_Seedling"
"65","Gene20","H3K9me2",2,20,"No Expression","clusteredNLRs_Seedling"
"66","Gene20","H3K27me3",33,20,"No Expression","clusteredNLRs_Seedling"
"67","Gene20","H2A-Z",82,20,"No Expression","clusteredNLRs_Seedling"
"68","Gene20","H2AK121ub",45,20,"No Expression","clusteredNLRs_Seedling"
"69","Gene20","H3ac",0,20,"No Expression","clusteredNLRs_Seedling"
"70","Gene20","H3K4me3",76,20,"No Expression","clusteredNLRs_Seedling"
"71","Gene20","H3K36me3",53,20,"No Expression","clusteredNLRs_Seedling"
"72","Gene20","H3K27ac",36,20,"No Expression","clusteredNLRs_Seedling"
"73","Gene20","H4K5ac",56,20,"No Expression","clusteredNLRs_Seedling"
"74","Gene20","H4K8ac",58,20,"No Expression","clusteredNLRs_Seedling"
"75","Gene20","H3-1",64,20,"No Expression","clusteredNLRs_Seedling"
"76","Gene20","H3K9ac",74,20,"No Expression","clusteredNLRs_Seedling"
"77","Gene20","H4K12ac",51,20,"No Expression","clusteredNLRs_Seedling"
"78","Gene20","H3K27me1",48,20,"No Expression","clusteredNLRs_Seedling"
"79","Gene20","H4K16ac",51,20,"No Expression","clusteredNLRs_Seedling"
"80","Gene20","H3K14ac",48,20,"No Expression","clusteredNLRs_Seedling"
"81","Gene20","H2A",29,20,"No Expression","clusteredNLRs_Seedling"
"82","Gene20","H3",28,20,"No Expression","clusteredNLRs_Seedling"
"83","Gene20","H2A-X",11,20,"No Expression","clusteredNLRs_Seedling"
"84","Gene20","H3K18ac",25,20,"No Expression","clusteredNLRs_Seedling"
"85","Gene40","H3-3",60,40,"No Expression","clusteredNLRs_Seedling"
"86","Gene40","H3K9me2",2,40,"No Expression","clusteredNLRs_Seedling"
"87","Gene40","H3K27me3",33,40,"No Expression","clusteredNLRs_Seedling"
"88","Gene40","H2A-Z",59,40,"No Expression","clusteredNLRs_Seedling"
"89","Gene40","H2AK121ub",12,40,"No Expression","clusteredNLRs_Seedling"
"90","Gene40","H3ac",0,40,"No Expression","clusteredNLRs_Seedling"
"91","Gene40","H3K4me3",56,40,"No Expression","clusteredNLRs_Seedling"
"92","Gene40","H3K36me3",44,40,"No Expression","clusteredNLRs_Seedling"
"93","Gene40","H3K27ac",15,40,"No Expression","clusteredNLRs_Seedling"
"94","Gene40","H4K5ac",16,40,"No Expression","clusteredNLRs_Seedling"
"95","Gene40","H4K8ac",22,40,"No Expression","clusteredNLRs_Seedling"
"96","Gene40","H3-1",71,40,"No Expression","clusteredNLRs_Seedling"
"97","Gene40","H3K9ac",41,40,"No Expression","clusteredNLRs_Seedling"
"98","Gene40","H4K12ac",16,40,"No Expression","clusteredNLRs_Seedling"
"99","Gene40","H3K27me1",50,40,"No Expression","clusteredNLRs_Seedling"
"100","Gene40","H4K16ac",20,40,"No Expression","clusteredNLRs_Seedling"
"101","Gene40","H3K14ac",27,40,"No Expression","clusteredNLRs_Seedling"
"102","Gene40","H2A",50,40,"No Expression","clusteredNLRs_Seedling"
"103","Gene40","H3",28,40,"No Expression","clusteredNLRs_Seedling"
"104","Gene40","H2A-X",22,40,"No Expression","clusteredNLRs_Seedling"
"105","Gene40","H3K18ac",4,40,"No Expression","clusteredNLRs_Seedling"
"106","Gene60","H3-3",61,60,"No Expression","clusteredNLRs_Seedling"
"107","Gene60","H3K9me2",3,60,"No Expression","clusteredNLRs_Seedling"
"108","Gene60","H3K27me3",32,60,"No Expression","clusteredNLRs_Seedling"
"109","Gene60","H2A-Z",56,60,"No Expression","clusteredNLRs_Seedling"
"110","Gene60","H2AK121ub",10,60,"No Expression","clusteredNLRs_Seedling"
"111","Gene60","H3ac",0,60,"No Expression","clusteredNLRs_Seedling"
"112","Gene60","H3K4me3",51,60,"No Expression","clusteredNLRs_Seedling"
"113","Gene60","H3K36me3",38,60,"No Expression","clusteredNLRs_Seedling"
"114","Gene60","H3K27ac",4,60,"No Expression","clusteredNLRs_Seedling"
"115","Gene60","H4K5ac",10,60,"No Expression","clusteredNLRs_Seedling"
"116","Gene60","H4K8ac",8,60,"No Expression","clusteredNLRs_Seedling"
"117","Gene60","H3-1",72,60,"No Expression","clusteredNLRs_Seedling"
"118","Gene60","H3K9ac",18,60,"No Expression","clusteredNLRs_Seedling"
"119","Gene60","H4K12ac",6,60,"No Expression","clusteredNLRs_Seedling"
"120","Gene60","H3K27me1",44,60,"No Expression","clusteredNLRs_Seedling"
"121","Gene60","H4K16ac",9,60,"No Expression","clusteredNLRs_Seedling"
"122","Gene60","H3K14ac",23,60,"No Expression","clusteredNLRs_Seedling"
"123","Gene60","H2A",49,60,"No Expression","clusteredNLRs_Seedling"
"124","Gene60","H3",19,60,"No Expression","clusteredNLRs_Seedling"
"125","Gene60","H2A-X",21,60,"No Expression","clusteredNLRs_Seedling"
"126","Gene60","H3K18ac",3,60,"No Expression","clusteredNLRs_Seedling"
"127","Gene80","H3-3",64,80,"No Expression","clusteredNLRs_Seedling"
"128","Gene80","H3K9me2",5,80,"No Expression","clusteredNLRs_Seedling"
"129","Gene80","H3K27me3",30,80,"No Expression","clusteredNLRs_Seedling"
"130","Gene80","H2A-Z",61,80,"No Expression","clusteredNLRs_Seedling"
"131","Gene80","H2AK121ub",11,80,"No Expression","clusteredNLRs_Seedling"
"132","Gene80","H3ac",0,80,"No Expression","clusteredNLRs_Seedling"
"133","Gene80","H3K4me3",47,80,"No Expression","clusteredNLRs_Seedling"
"134","Gene80","H3K36me3",26,80,"No Expression","clusteredNLRs_Seedling"
"135","Gene80","H3K27ac",4,80,"No Expression","clusteredNLRs_Seedling"
"136","Gene80","H4K5ac",13,80,"No Expression","clusteredNLRs_Seedling"
"137","Gene80","H4K8ac",14,80,"No Expression","clusteredNLRs_Seedling"
"138","Gene80","H3-1",71,80,"No Expression","clusteredNLRs_Seedling"
"139","Gene80","H3K9ac",28,80,"No Expression","clusteredNLRs_Seedling"
"140","Gene80","H4K12ac",13,80,"No Expression","clusteredNLRs_Seedling"
"141","Gene80","H3K27me1",46,80,"No Expression","clusteredNLRs_Seedling"
"142","Gene80","H4K16ac",12,80,"No Expression","clusteredNLRs_Seedling"
"143","Gene80","H3K14ac",32,80,"No Expression","clusteredNLRs_Seedling"
"144","Gene80","H2A",40,80,"No Expression","clusteredNLRs_Seedling"
"145","Gene80","H3",20,80,"No Expression","clusteredNLRs_Seedling"
"146","Gene80","H2A-X",21,80,"No Expression","clusteredNLRs_Seedling"
"147","Gene80","H3K18ac",4,80,"No Expression","clusteredNLRs_Seedling"
"148","Gene100","H3-3",69,100,"No Expression","clusteredNLRs_Seedling"
"149","Gene100","H3K9me2",5,100,"No Expression","clusteredNLRs_Seedling"
"150","Gene100","H3K27me3",30,100,"No Expression","clusteredNLRs_Seedling"
"151","Gene100","H2A-Z",70,100,"No Expression","clusteredNLRs_Seedling"
"152","Gene100","H2AK121ub",18,100,"No Expression","clusteredNLRs_Seedling"
"153","Gene100","H3ac",0,100,"No Expression","clusteredNLRs_Seedling"
"154","Gene100","H3K4me3",45,100,"No Expression","clusteredNLRs_Seedling"
"155","Gene100","H3K36me3",22,100,"No Expression","clusteredNLRs_Seedling"
"156","Gene100","H3K27ac",8,100,"No Expression","clusteredNLRs_Seedling"
"157","Gene100","H4K5ac",21,100,"No Expression","clusteredNLRs_Seedling"
"158","Gene100","H4K8ac",16,100,"No Expression","clusteredNLRs_Seedling"
"159","Gene100","H3-1",58,100,"No Expression","clusteredNLRs_Seedling"
"160","Gene100","H3K9ac",32,100,"No Expression","clusteredNLRs_Seedling"
"161","Gene100","H4K12ac",19,100,"No Expression","clusteredNLRs_Seedling"
"162","Gene100","H3K27me1",42,100,"No Expression","clusteredNLRs_Seedling"
"163","Gene100","H4K16ac",16,100,"No Expression","clusteredNLRs_Seedling"
"164","Gene100","H3K14ac",27,100,"No Expression","clusteredNLRs_Seedling"
"165","Gene100","H2A",31,100,"No Expression","clusteredNLRs_Seedling"
"166","Gene100","H3",19,100,"No Expression","clusteredNLRs_Seedling"
"167","Gene100","H2A-X",12,100,"No Expression","clusteredNLRs_Seedling"
"168","Gene100","H3K18ac",9,100,"No Expression","clusteredNLRs_Seedling"
"169","Downstream","H3-3",36,120,"No Expression","clusteredNLRs_Seedling"
"170","Downstream","H3K9me2",2,120,"No Expression","clusteredNLRs_Seedling"
"171","Downstream","H3K27me3",23,120,"No Expression","clusteredNLRs_Seedling"
"172","Downstream","H2A-Z",57,120,"No Expression","clusteredNLRs_Seedling"
"173","Downstream","H2AK121ub",12,120,"No Expression","clusteredNLRs_Seedling"
