"","Gene","Expression","Tissue","ExpressionLevel"
"144","AT5G40910",21.4198360655738,"root","Low Expression"
"141","AT5G41540",0.319180327868852,"root","No Expression"
"19","AT5G41550",3.64918032786885,"root","Low Expression"
"7","AT5G41740",4.34606557377049,"root","Low Expression"
"93","AT5G41750",9.29327868852459,"root","Low Expression"
"31","AT5G43470",3.72885245901639,"root","Low Expression"
"96","AT5G43725",3.49098360655738,"root","Low Expression"
"135","AT5G43730",7.92901639344262,"root","Low Expression"
"121","AT5G43740",0.727049180327869,"root","No Expression"
"103","AT5G44510",15.0652459016393,"root","Low Expression"
"22","AT5G44870",2.87672131147541,"root","Low Expression"
"132","AT5G45000",5.93967213114754,"root","Low Expression"
"75","AT5G45050",13.3126229508197,"root","Low Expression"
"16","AT5G45060",9.0583606557377,"root","Low Expression"
"60","AT5G45200",4.87770491803279,"root","Low Expression"
"78","AT5G45210",11.74,"root","Low Expression"
"98","AT5G45220",11.5734426229508,"root","Low Expression"
"118","AT5G45230",0.0236065573770492,"root","No Expression"
"137","AT5G45240",0.851639344262295,"root","No Expression"
"153","AT5G45250",12.6654098360656,"root","Low Expression"
"12","AT5G45260",12.0175409836066,"root","Low Expression"
"30","AT5G45440",13.037868852459,"root","Low Expression"
"158","AT5G45490",59.9773770491803,"root","Intermediate Expression"
"73","AT5G46260",3.63213114754098,"root","Low Expression"
"54","AT5G46270",3.7472131147541,"root","Low Expression"
"11","AT5G46450",1.84672131147541,"root","Low Expression"
"48","AT5G46470",14.7714754098361,"root","Low Expression"
"129","AT5G46490",0.815901639344262,"root","No Expression"
"27","AT5G46510",6.42426229508197,"root","Low Expression"
"130","AT5G46520",3.91344262295082,"root","Low Expression"
"108","AT5G47250",6.75524590163934,"root","Low Expression"
"80","AT5G47260",0.104426229508197,"root","No Expression"
"145","AT5G47280",0.00475409836065574,"root","No Expression"
"77","AT5G48620",13.0154098360656,"root","Low Expression"
"68","AT5G48770",2.41114754098361,"root","Low Expression"
"66","AT5G48775",5.05950819672131,"root","Low Expression"
"69","AT5G48780",5.05393442622951,"root","Low Expression"
"81","AT5G49140",0.520819672131148,"root","No Expression"
"57","AT5G51630",16.3285245901639,"root","Low Expression"
"154","AT5G58120",2.18754098360656,"root","Low Expression"
"125","AT5G63020",6.62950819672131,"root","Low Expression"
"24","AT5G66900",8.24803278688525,"root","Low Expression"
"43","AT5G66910",21.6680327868852,"root","Low Expression"
