"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"87","Gene80","H3K27ac",0,"control1_root",80,"No Expression",62
"88","Gene100","H3K27ac",0,"control1_root",100,"No Expression",62
"89","Downstream","H3K27ac",0,"control1_root",120,"No Expression",62
"90","DownstreamIntergenic","H3K27ac",0,"control1_root",140,"No Expression",62
"91","UpstreamIntergenic","H4K5ac",0,"control1_root",-60,"No Expression",62
"92","Promotor1000","H4K5ac",0,"control1_root",-40,"No Expression",62
"93","Promotor500","H4K5ac",0,"control1_root",-20,"No Expression",62
"94","Gene20","H4K5ac",0,"control1_root",20,"No Expression",62
"95","Gene40","H4K5ac",0,"control1_root",40,"No Expression",62
"96","Gene60","H4K5ac",0,"control1_root",60,"No Expression",62
"97","Gene80","H4K5ac",0,"control1_root",80,"No Expression",62
"98","Gene100","H4K5ac",0,"control1_root",100,"No Expression",62
"99","Downstream","H4K5ac",0,"control1_root",120,"No Expression",62
"100","DownstreamIntergenic","H4K5ac",0,"control1_root",140,"No Expression",62
"101","UpstreamIntergenic","H4K8ac",0,"control1_root",-60,"No Expression",62
"102","Promotor1000","H4K8ac",0,"control1_root",-40,"No Expression",62
"103","Promotor500","H4K8ac",0,"control1_root",-20,"No Expression",62
"104","Gene20","H4K8ac",0,"control1_root",20,"No Expression",62
"105","Gene40","H4K8ac",0,"control1_root",40,"No Expression",62
"106","Gene60","H4K8ac",0,"control1_root",60,"No Expression",62
"107","Gene80","H4K8ac",0,"control1_root",80,"No Expression",62
"108","Gene100","H4K8ac",0,"control1_root",100,"No Expression",62
"109","Downstream","H4K8ac",0,"control1_root",120,"No Expression",62
"110","DownstreamIntergenic","H4K8ac",0,"control1_root",140,"No Expression",62
"111","UpstreamIntergenic","H3-1",0,"control1_root",-60,"No Expression",62
"112","Promotor1000","H3-1",0,"control1_root",-40,"No Expression",62
"113","Promotor500","H3-1",0,"control1_root",-20,"No Expression",62
"114","Gene20","H3-1",0,"control1_root",20,"No Expression",62
"115","Gene40","H3-1",0,"control1_root",40,"No Expression",62
"116","Gene60","H3-1",0,"control1_root",60,"No Expression",62
"117","Gene80","H3-1",0,"control1_root",80,"No Expression",62
"118","Gene100","H3-1",0,"control1_root",100,"No Expression",62
"119","Downstream","H3-1",0,"control1_root",120,"No Expression",62
"120","DownstreamIntergenic","H3-1",0,"control1_root",140,"No Expression",62
"121","UpstreamIntergenic","H3K9ac",0,"control1_root",-60,"No Expression",62
"122","Promotor1000","H3K9ac",0,"control1_root",-40,"No Expression",62
"123","Promotor500","H3K9ac",0,"control1_root",-20,"No Expression",62
"124","Gene20","H3K9ac",0,"control1_root",20,"No Expression",62
"125","Gene40","H3K9ac",0,"control1_root",40,"No Expression",62
"126","Gene60","H3K9ac",0,"control1_root",60,"No Expression",62
"127","Gene80","H3K9ac",0,"control1_root",80,"No Expression",62
"128","Gene100","H3K9ac",0,"control1_root",100,"No Expression",62
"129","Downstream","H3K9ac",0,"control1_root",120,"No Expression",62
"130","DownstreamIntergenic","H3K9ac",0,"control1_root",140,"No Expression",62
"131","UpstreamIntergenic","H4K12ac",0,"control1_root",-60,"No Expression",62
"132","Promotor1000","H4K12ac",0,"control1_root",-40,"No Expression",62
"133","Promotor500","H4K12ac",0,"control1_root",-20,"No Expression",62
"134","Gene20","H4K12ac",0,"control1_root",20,"No Expression",62
"135","Gene40","H4K12ac",0,"control1_root",40,"No Expression",62
"136","Gene60","H4K12ac",0,"control1_root",60,"No Expression",62
"137","Gene80","H4K12ac",0,"control1_root",80,"No Expression",62
"138","Gene100","H4K12ac",0,"control1_root",100,"No Expression",62
"139","Downstream","H4K12ac",0,"control1_root",120,"No Expression",62
"140","DownstreamIntergenic","H4K12ac",0,"control1_root",140,"No Expression",62
"141","UpstreamIntergenic","H3K27me1",0,"control1_root",-60,"No Expression",62
"142","Promotor1000","H3K27me1",0,"control1_root",-40,"No Expression",62
"143","Promotor500","H3K27me1",0,"control1_root",-20,"No Expression",62
"144","Gene20","H3K27me1",0,"control1_root",20,"No Expression",62
"145","Gene40","H3K27me1",0,"control1_root",40,"No Expression",62
"146","Gene60","H3K27me1",0,"control1_root",60,"No Expression",62
"147","Gene80","H3K27me1",0,"control1_root",80,"No Expression",62
"148","Gene100","H3K27me1",0,"control1_root",100,"No Expression",62
"149","Downstream","H3K27me1",0,"control1_root",120,"No Expression",62
"150","DownstreamIntergenic","H3K27me1",0,"control1_root",140,"No Expression",62
"151","UpstreamIntergenic","H4K16ac",0,"control1_root",-60,"No Expression",62
"152","Promotor1000","H4K16ac",0,"control1_root",-40,"No Expression",62
"153","Promotor500","H4K16ac",0,"control1_root",-20,"No Expression",62
"154","Gene20","H4K16ac",0,"control1_root",20,"No Expression",62
"155","Gene40","H4K16ac",0,"control1_root",40,"No Expression",62
"156","Gene60","H4K16ac",0,"control1_root",60,"No Expression",62
"157","Gene80","H4K16ac",0,"control1_root",80,"No Expression",62
"158","Gene100","H4K16ac",0,"control1_root",100,"No Expression",62
"159","Downstream","H4K16ac",0,"control1_root",120,"No Expression",62
"160","DownstreamIntergenic","H4K16ac",0,"control1_root",140,"No Expression",62
"161","UpstreamIntergenic","H3K14ac",0,"control1_root",-60,"No Expression",62
"162","Promotor1000","H3K14ac",0,"control1_root",-40,"No Expression",62
"163","Promotor500","H3K14ac",0,"control1_root",-20,"No Expression",62
"164","Gene20","H3K14ac",0,"control1_root",20,"No Expression",62
"165","Gene40","H3K14ac",0,"control1_root",40,"No Expression",62
"166","Gene60","H3K14ac",0,"control1_root",60,"No Expression",62
"167","Gene80","H3K14ac",0,"control1_root",80,"No Expression",62
"168","Gene100","H3K14ac",0,"control1_root",100,"No Expression",62
"169","Downstream","H3K14ac",0,"control1_root",120,"No Expression",62
"170","DownstreamIntergenic","H3K14ac",0,"control1_root",140,"No Expression",62
"171","UpstreamIntergenic","H2A",0,"control1_root",-60,"No Expression",62
"172","Promotor1000","H2A",0,"control1_root",-40,"No Expression",62
"173","Promotor500","H2A",0,"control1_root",-20,"No Expression",62
"174","Gene20","H2A",0,"control1_root",20,"No Expression",62
"175","Gene40","H2A",0,"control1_root",40,"No Expression",62
"176","Gene60","H2A",0,"control1_root",60,"No Expression",62
"177","Gene80","H2A",0,"control1_root",80,"No Expression",62
