"","Region","Modification","Frequency","axisGroup","Expression","SampleGenes"
"66","Gene20","H3K27me3",45.9016393442623,20,"No Expression","clusteredNLRs_Leaf"
"67","Gene20","H2A-Z",85.2459016393443,20,"No Expression","clusteredNLRs_Leaf"
"68","Gene20","H2AK121ub",44.2622950819672,20,"No Expression","clusteredNLRs_Leaf"
"69","Gene20","H3ac",0,20,"No Expression","clusteredNLRs_Leaf"
"70","Gene20","H3K4me3",68.8524590163934,20,"No Expression","clusteredNLRs_Leaf"
"71","Gene20","H3K36me3",37.7049180327869,20,"No Expression","clusteredNLRs_Leaf"
"72","Gene20","H3K27ac",19.672131147541,20,"No Expression","clusteredNLRs_Leaf"
"73","Gene20","H4K5ac",49.1803278688525,20,"No Expression","clusteredNLRs_Leaf"
"74","Gene20","H4K8ac",52.4590163934426,20,"No Expression","clusteredNLRs_Leaf"
"75","Gene20","H3-1",83.6065573770492,20,"No Expression","clusteredNLRs_Leaf"
"76","Gene20","H3K9ac",63.9344262295082,20,"No Expression","clusteredNLRs_Leaf"
"77","Gene20","H4K12ac",47.5409836065574,20,"No Expression","clusteredNLRs_Leaf"
"78","Gene20","H3K27me1",59.0163934426229,20,"No Expression","clusteredNLRs_Leaf"
"79","Gene20","H4K16ac",44.2622950819672,20,"No Expression","clusteredNLRs_Leaf"
"80","Gene20","H3K14ac",44.2622950819672,20,"No Expression","clusteredNLRs_Leaf"
"81","Gene20","H2A",22.9508196721311,20,"No Expression","clusteredNLRs_Leaf"
"82","Gene20","H3",32.7868852459016,20,"No Expression","clusteredNLRs_Leaf"
"83","Gene20","H2A-X",11.4754098360656,20,"No Expression","clusteredNLRs_Leaf"
"84","Gene20","H3K18ac",19.672131147541,20,"No Expression","clusteredNLRs_Leaf"
"85","Gene40","H3-3",54.0983606557377,40,"No Expression","clusteredNLRs_Leaf"
"86","Gene40","H3K9me2",3.27868852459016,40,"No Expression","clusteredNLRs_Leaf"
"87","Gene40","H3K27me3",42.6229508196721,40,"No Expression","clusteredNLRs_Leaf"
"88","Gene40","H2A-Z",73.7704918032787,40,"No Expression","clusteredNLRs_Leaf"
"89","Gene40","H2AK121ub",11.4754098360656,40,"No Expression","clusteredNLRs_Leaf"
"90","Gene40","H3ac",0,40,"No Expression","clusteredNLRs_Leaf"
"91","Gene40","H3K4me3",49.1803278688525,40,"No Expression","clusteredNLRs_Leaf"
"92","Gene40","H3K36me3",32.7868852459016,40,"No Expression","clusteredNLRs_Leaf"
"93","Gene40","H3K27ac",9.83606557377049,40,"No Expression","clusteredNLRs_Leaf"
"94","Gene40","H4K5ac",21.3114754098361,40,"No Expression","clusteredNLRs_Leaf"
"95","Gene40","H4K8ac",19.672131147541,40,"No Expression","clusteredNLRs_Leaf"
"96","Gene40","H3-1",81.9672131147541,40,"No Expression","clusteredNLRs_Leaf"
"97","Gene40","H3K9ac",37.7049180327869,40,"No Expression","clusteredNLRs_Leaf"
"98","Gene40","H4K12ac",14.7540983606557,40,"No Expression","clusteredNLRs_Leaf"
"99","Gene40","H3K27me1",55.7377049180328,40,"No Expression","clusteredNLRs_Leaf"
"100","Gene40","H4K16ac",16.3934426229508,40,"No Expression","clusteredNLRs_Leaf"
"101","Gene40","H3K14ac",27.8688524590164,40,"No Expression","clusteredNLRs_Leaf"
"102","Gene40","H2A",45.9016393442623,40,"No Expression","clusteredNLRs_Leaf"
"103","Gene40","H3",27.8688524590164,40,"No Expression","clusteredNLRs_Leaf"
"104","Gene40","H2A-X",18.0327868852459,40,"No Expression","clusteredNLRs_Leaf"
"105","Gene40","H3K18ac",3.27868852459016,40,"No Expression","clusteredNLRs_Leaf"
"106","Gene60","H3-3",50.8196721311475,60,"No Expression","clusteredNLRs_Leaf"
"107","Gene60","H3K9me2",4.91803278688525,60,"No Expression","clusteredNLRs_Leaf"
"108","Gene60","H3K27me3",39.344262295082,60,"No Expression","clusteredNLRs_Leaf"
