"","geneId","FPKM","tissue","ExpressionLevel"
"108","AT5G40060",3.35540309090909,"leaves","Low Expression"
"109","AT5G40090",0.246139522727273,"leaves","No Expression"
"110","AT5G40100",0.0847056818181818,"leaves","No Expression"
"111","AT5G40910",5.4888845,"leaves","Low Expression"
"112","AT5G41540",0,"leaves","No Expression"
"113","AT5G41550",0.236911681818182,"leaves","No Expression"
"114","AT5G41740",8.78633252272727,"leaves","Low Expression"
"115","AT5G41750",5.36173054545455,"leaves","Low Expression"
"116","AT5G43470",30.7101514772727,"leaves","Low Expression"
"117","AT5G43730",2.76753470454545,"leaves","Low Expression"
"118","AT5G43740",4.33394981818182,"leaves","Low Expression"
"119","AT5G44510",0.86104425,"leaves","No Expression"
"120","AT5G44870",6.7740365,"leaves","Low Expression"
"121","AT5G45000",0.713608477272727,"leaves","No Expression"
"122","AT5G45050",5.42270161363636,"leaves","Low Expression"
"123","AT5G45060",5.98967659090909,"leaves","Low Expression"
"124","AT5G45200",0.00619315909090909,"leaves","No Expression"
"125","AT5G45210",0.0415880681818182,"leaves","No Expression"
"126","AT5G45220",0.184968318181818,"leaves","No Expression"
"127","AT5G45230",0,"leaves","No Expression"
"128","AT5G45240",0.0743895681818182,"leaves","No Expression"
"129","AT5G45250",5.00140070454545,"leaves","Low Expression"
"130","AT5G45260",3.89422284090909,"leaves","Low Expression"
"131","AT5G45440",0.336200454545455,"leaves","No Expression"
"132","AT5G45490",28.7862568863636,"leaves","Low Expression"
"133","AT5G46260",2.46157906818182,"leaves","Low Expression"
"134","AT5G46270",5.33487154545455,"leaves","Low Expression"
"135","AT5G46450",7.26351109090909,"leaves","Low Expression"
"136","AT5G46470",10.2150034090909,"leaves","Low Expression"
"137","AT5G46490",8.92769745454545,"leaves","Low Expression"
"138","AT5G46510",6.37953309090909,"leaves","Low Expression"
"139","AT5G46520",1.55193981818182,"leaves","Low Expression"
"140","AT5G47250",1.43293822727273,"leaves","Low Expression"
"141","AT5G47260",0.000822727272727273,"leaves","No Expression"
"142","AT5G47280",0,"leaves","No Expression"
"143","AT5G48620",23.5725331136364,"leaves","Low Expression"
"144","AT5G48770",0.0500230454545455,"leaves","No Expression"
"145","AT5G48780",0.254643295454545,"leaves","No Expression"
"146","AT5G49140",0,"leaves","No Expression"
"147","AT5G51630",1.25859543181818,"leaves","Low Expression"
"148","AT5G58120",5.41044802272727,"leaves","Low Expression"
"149","AT5G63020",8.19731572727273,"leaves","Low Expression"
"150","AT5G66900",6.80941577272727,"leaves","Low Expression"
"151","AT5G66910",3.19975043181818,"leaves","Low Expression"
