"","Region","Modification","Frequency","axisGroup","Expression","dataToAnalyse"
"94","Gene40","H4K5ac",0,40,"No Expression","control1_root"
"95","Gene40","H4K8ac",0,40,"No Expression","control1_root"
"96","Gene40","H3-1",0,40,"No Expression","control1_root"
"97","Gene40","H3K9ac",0,40,"No Expression","control1_root"
"98","Gene40","H4K12ac",0,40,"No Expression","control1_root"
"99","Gene40","H3K27me1",0,40,"No Expression","control1_root"
"100","Gene40","H4K16ac",0,40,"No Expression","control1_root"
"101","Gene40","H3K14ac",0,40,"No Expression","control1_root"
"102","Gene40","H2A",0,40,"No Expression","control1_root"
"103","Gene40","H3",0,40,"No Expression","control1_root"
"104","Gene40","H2A-X",0,40,"No Expression","control1_root"
"105","Gene40","H3K18ac",0,40,"No Expression","control1_root"
"106","Gene60","H3-3",0,60,"No Expression","control1_root"
"107","Gene60","H3K9me2",0,60,"No Expression","control1_root"
"108","Gene60","H3K27me3",5.17241379310345,60,"No Expression","control1_root"
"109","Gene60","H2A-Z",0,60,"No Expression","control1_root"
"110","Gene60","H2AK121ub",0,60,"No Expression","control1_root"
"111","Gene60","H3ac",3.44827586206897,60,"No Expression","control1_root"
"112","Gene60","H3K4me3",3.44827586206897,60,"No Expression","control1_root"
"113","Gene60","H3K36me3",0,60,"No Expression","control1_root"
"114","Gene60","H3K27ac",0,60,"No Expression","control1_root"
"115","Gene60","H4K5ac",0,60,"No Expression","control1_root"
"116","Gene60","H4K8ac",0,60,"No Expression","control1_root"
"117","Gene60","H3-1",0,60,"No Expression","control1_root"
"118","Gene60","H3K9ac",0,60,"No Expression","control1_root"
"119","Gene60","H4K12ac",0,60,"No Expression","control1_root"
"120","Gene60","H3K27me1",0,60,"No Expression","control1_root"
"121","Gene60","H4K16ac",0,60,"No Expression","control1_root"
"122","Gene60","H3K14ac",0,60,"No Expression","control1_root"
"123","Gene60","H2A",0,60,"No Expression","control1_root"
"124","Gene60","H3",0,60,"No Expression","control1_root"
"125","Gene60","H2A-X",0,60,"No Expression","control1_root"
"126","Gene60","H3K18ac",0,60,"No Expression","control1_root"
"127","Gene80","H3-3",0,80,"No Expression","control1_root"
"128","Gene80","H3K9me2",0,80,"No Expression","control1_root"
"129","Gene80","H3K27me3",12.0689655172414,80,"No Expression","control1_root"
"130","Gene80","H2A-Z",0,80,"No Expression","control1_root"
"131","Gene80","H2AK121ub",0,80,"No Expression","control1_root"
"132","Gene80","H3ac",1.72413793103448,80,"No Expression","control1_root"
"133","Gene80","H3K4me3",5.17241379310345,80,"No Expression","control1_root"
"134","Gene80","H3K36me3",0,80,"No Expression","control1_root"
"135","Gene80","H3K27ac",0,80,"No Expression","control1_root"
"136","Gene80","H4K5ac",0,80,"No Expression","control1_root"
"137","Gene80","H4K8ac",0,80,"No Expression","control1_root"
"138","Gene80","H3-1",0,80,"No Expression","control1_root"
"139","Gene80","H3K9ac",0,80,"No Expression","control1_root"
"140","Gene80","H4K12ac",0,80,"No Expression","control1_root"
"141","Gene80","H3K27me1",0,80,"No Expression","control1_root"
"142","Gene80","H4K16ac",0,80,"No Expression","control1_root"
"143","Gene80","H3K14ac",0,80,"No Expression","control1_root"
"144","Gene80","H2A",0,80,"No Expression","control1_root"
"145","Gene80","H3",0,80,"No Expression","control1_root"
"146","Gene80","H2A-X",0,80,"No Expression","control1_root"
"147","Gene80","H3K18ac",0,80,"No Expression","control1_root"
"148","Gene100","H3-3",0,100,"No Expression","control1_root"
"149","Gene100","H3K9me2",0,100,"No Expression","control1_root"
"150","Gene100","H3K27me3",10.3448275862069,100,"No Expression","control1_root"
"151","Gene100","H2A-Z",0,100,"No Expression","control1_root"
"152","Gene100","H2AK121ub",0,100,"No Expression","control1_root"
"153","Gene100","H3ac",1.72413793103448,100,"No Expression","control1_root"
"154","Gene100","H3K4me3",5.17241379310345,100,"No Expression","control1_root"
"155","Gene100","H3K36me3",0,100,"No Expression","control1_root"
"156","Gene100","H3K27ac",0,100,"No Expression","control1_root"
"157","Gene100","H4K5ac",0,100,"No Expression","control1_root"
"158","Gene100","H4K8ac",0,100,"No Expression","control1_root"
"159","Gene100","H3-1",0,100,"No Expression","control1_root"
"160","Gene100","H3K9ac",0,100,"No Expression","control1_root"
"161","Gene100","H4K12ac",0,100,"No Expression","control1_root"
"162","Gene100","H3K27me1",0,100,"No Expression","control1_root"
"163","Gene100","H4K16ac",0,100,"No Expression","control1_root"
"164","Gene100","H3K14ac",0,100,"No Expression","control1_root"
"165","Gene100","H2A",0,100,"No Expression","control1_root"
"166","Gene100","H3",0,100,"No Expression","control1_root"
"167","Gene100","H2A-X",0,100,"No Expression","control1_root"
"168","Gene100","H3K18ac",0,100,"No Expression","control1_root"
"169","Downstream","H3-3",0,120,"No Expression","control1_root"
"170","Downstream","H3K9me2",0,120,"No Expression","control1_root"
"171","Downstream","H3K27me3",0,120,"No Expression","control1_root"
"172","Downstream","H2A-Z",0,120,"No Expression","control1_root"
"173","Downstream","H2AK121ub",0,120,"No Expression","control1_root"
"174","Downstream","H3ac",8.62068965517241,120,"No Expression","control1_root"
"175","Downstream","H3K4me3",0,120,"No Expression","control1_root"
"176","Downstream","H3K36me3",0,120,"No Expression","control1_root"
"177","Downstream","H3K27ac",0,120,"No Expression","control1_root"
"178","Downstream","H4K5ac",0,120,"No Expression","control1_root"
"179","Downstream","H4K8ac",0,120,"No Expression","control1_root"
"180","Downstream","H3-1",0,120,"No Expression","control1_root"
"181","Downstream","H3K9ac",0,120,"No Expression","control1_root"
"182","Downstream","H4K12ac",0,120,"No Expression","control1_root"
"183","Downstream","H3K27me1",0,120,"No Expression","control1_root"
"184","Downstream","H4K16ac",0,120,"No Expression","control1_root"
"185","Downstream","H3K14ac",0,120,"No Expression","control1_root"
"186","Downstream","H2A",0,120,"No Expression","control1_root"
"187","Downstream","H3",0,120,"No Expression","control1_root"
"188","Downstream","H2A-X",0,120,"No Expression","control1_root"
"189","Downstream","H3K18ac",0,120,"No Expression","control1_root"
"190","DownstreamIntergenic","H3-3",0,140,"No Expression","control1_root"
"191","DownstreamIntergenic","H3K9me2",0,140,"No Expression","control1_root"
"192","DownstreamIntergenic","H3K27me3",1.72413793103448,140,"No Expression","control1_root"
"193","DownstreamIntergenic","H2A-Z",0,140,"No Expression","control1_root"
"194","DownstreamIntergenic","H2AK121ub",0,140,"No Expression","control1_root"
"195","DownstreamIntergenic","H3ac",0,140,"No Expression","control1_root"
"196","DownstreamIntergenic","H3K4me3",1.72413793103448,140,"No Expression","control1_root"
"197","DownstreamIntergenic","H3K36me3",0,140,"No Expression","control1_root"
"198","DownstreamIntergenic","H3K27ac",0,140,"No Expression","control1_root"
"199","DownstreamIntergenic","H4K5ac",0,140,"No Expression","control1_root"
"200","DownstreamIntergenic","H4K8ac",0,140,"No Expression","control1_root"
"201","DownstreamIntergenic","H3-1",0,140,"No Expression","control1_root"
"202","DownstreamIntergenic","H3K9ac",0,140,"No Expression","control1_root"
"203","DownstreamIntergenic","H4K12ac",0,140,"No Expression","control1_root"
"204","DownstreamIntergenic","H3K27me1",0,140,"No Expression","control1_root"
"205","DownstreamIntergenic","H4K16ac",0,140,"No Expression","control1_root"
"206","DownstreamIntergenic","H3K14ac",0,140,"No Expression","control1_root"
"207","DownstreamIntergenic","H2A",0,140,"No Expression","control1_root"
"208","DownstreamIntergenic","H3",0,140,"No Expression","control1_root"
"209","DownstreamIntergenic","H2A-X",0,140,"No Expression","control1_root"
"210","DownstreamIntergenic","H3K18ac",0,140,"No Expression","control1_root"
"211","UpstreamIntergenic","H3-3",0,-60,"Low Expression","control1_root"
"212","UpstreamIntergenic","H3K9me2",0,-60,"Low Expression","control1_root"
"213","UpstreamIntergenic","H3K27me3",5.12820512820513,-60,"Low Expression","control1_root"
"214","UpstreamIntergenic","H2A-Z",0,-60,"Low Expression","control1_root"
"215","UpstreamIntergenic","H2AK121ub",0,-60,"Low Expression","control1_root"
"216","UpstreamIntergenic","H3ac",4.27350427350427,-60,"Low Expression","control1_root"
"217","UpstreamIntergenic","H3K4me3",0,-60,"Low Expression","control1_root"
"218","UpstreamIntergenic","H3K36me3",0,-60,"Low Expression","control1_root"
"219","UpstreamIntergenic","H3K27ac",0,-60,"Low Expression","control1_root"
"220","UpstreamIntergenic","H4K5ac",0,-60,"Low Expression","control1_root"
"221","UpstreamIntergenic","H4K8ac",0,-60,"Low Expression","control1_root"
"222","UpstreamIntergenic","H3-1",0,-60,"Low Expression","control1_root"
"223","UpstreamIntergenic","H3K9ac",0,-60,"Low Expression","control1_root"
"224","UpstreamIntergenic","H4K12ac",0,-60,"Low Expression","control1_root"
"225","UpstreamIntergenic","H3K27me1",0,-60,"Low Expression","control1_root"
"226","UpstreamIntergenic","H4K16ac",0,-60,"Low Expression","control1_root"
