"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"88","Gene100","H3K27ac",0,"control1_root",100,"No Expression",64
"89","Downstream","H3K27ac",0,"control1_root",120,"No Expression",64
"90","DownstreamIntergenic","H3K27ac",0,"control1_root",140,"No Expression",64
"91","UpstreamIntergenic","H4K5ac",0,"control1_root",-60,"No Expression",64
"92","Promotor1000","H4K5ac",0,"control1_root",-40,"No Expression",64
"93","Promotor500","H4K5ac",0,"control1_root",-20,"No Expression",64
"94","Gene20","H4K5ac",0,"control1_root",20,"No Expression",64
"95","Gene40","H4K5ac",0,"control1_root",40,"No Expression",64
"96","Gene60","H4K5ac",0,"control1_root",60,"No Expression",64
"97","Gene80","H4K5ac",0,"control1_root",80,"No Expression",64
"98","Gene100","H4K5ac",0,"control1_root",100,"No Expression",64
"99","Downstream","H4K5ac",0,"control1_root",120,"No Expression",64
"100","DownstreamIntergenic","H4K5ac",0,"control1_root",140,"No Expression",64
"101","UpstreamIntergenic","H4K8ac",0,"control1_root",-60,"No Expression",64
"102","Promotor1000","H4K8ac",0,"control1_root",-40,"No Expression",64
"103","Promotor500","H4K8ac",0,"control1_root",-20,"No Expression",64
"104","Gene20","H4K8ac",0,"control1_root",20,"No Expression",64
"105","Gene40","H4K8ac",0,"control1_root",40,"No Expression",64
"106","Gene60","H4K8ac",0,"control1_root",60,"No Expression",64
"107","Gene80","H4K8ac",0,"control1_root",80,"No Expression",64
"108","Gene100","H4K8ac",0,"control1_root",100,"No Expression",64
"109","Downstream","H4K8ac",0,"control1_root",120,"No Expression",64
"110","DownstreamIntergenic","H4K8ac",0,"control1_root",140,"No Expression",64
"111","UpstreamIntergenic","H3-1",0,"control1_root",-60,"No Expression",64
"112","Promotor1000","H3-1",0,"control1_root",-40,"No Expression",64
"113","Promotor500","H3-1",0,"control1_root",-20,"No Expression",64
"114","Gene20","H3-1",0,"control1_root",20,"No Expression",64
"115","Gene40","H3-1",0,"control1_root",40,"No Expression",64
"116","Gene60","H3-1",0,"control1_root",60,"No Expression",64
"117","Gene80","H3-1",0,"control1_root",80,"No Expression",64
"118","Gene100","H3-1",0,"control1_root",100,"No Expression",64
"119","Downstream","H3-1",0,"control1_root",120,"No Expression",64
"120","DownstreamIntergenic","H3-1",0,"control1_root",140,"No Expression",64
"121","UpstreamIntergenic","H3K9ac",0,"control1_root",-60,"No Expression",64
"122","Promotor1000","H3K9ac",0,"control1_root",-40,"No Expression",64
"123","Promotor500","H3K9ac",0,"control1_root",-20,"No Expression",64
"124","Gene20","H3K9ac",0,"control1_root",20,"No Expression",64
"125","Gene40","H3K9ac",0,"control1_root",40,"No Expression",64
"126","Gene60","H3K9ac",0,"control1_root",60,"No Expression",64
"127","Gene80","H3K9ac",0,"control1_root",80,"No Expression",64
"128","Gene100","H3K9ac",0,"control1_root",100,"No Expression",64
"129","Downstream","H3K9ac",0,"control1_root",120,"No Expression",64
"130","DownstreamIntergenic","H3K9ac",0,"control1_root",140,"No Expression",64
"131","UpstreamIntergenic","H4K12ac",0,"control1_root",-60,"No Expression",64
"132","Promotor1000","H4K12ac",0,"control1_root",-40,"No Expression",64
"133","Promotor500","H4K12ac",0,"control1_root",-20,"No Expression",64
"134","Gene20","H4K12ac",0,"control1_root",20,"No Expression",64
"135","Gene40","H4K12ac",0,"control1_root",40,"No Expression",64
"136","Gene60","H4K12ac",0,"control1_root",60,"No Expression",64
"137","Gene80","H4K12ac",0,"control1_root",80,"No Expression",64
"138","Gene100","H4K12ac",0,"control1_root",100,"No Expression",64
"139","Downstream","H4K12ac",0,"control1_root",120,"No Expression",64
"140","DownstreamIntergenic","H4K12ac",0,"control1_root",140,"No Expression",64
"141","UpstreamIntergenic","H3K27me1",0,"control1_root",-60,"No Expression",64
"142","Promotor1000","H3K27me1",0,"control1_root",-40,"No Expression",64
"143","Promotor500","H3K27me1",0,"control1_root",-20,"No Expression",64
"144","Gene20","H3K27me1",0,"control1_root",20,"No Expression",64
"145","Gene40","H3K27me1",0,"control1_root",40,"No Expression",64
"146","Gene60","H3K27me1",0,"control1_root",60,"No Expression",64
"147","Gene80","H3K27me1",0,"control1_root",80,"No Expression",64
"148","Gene100","H3K27me1",0,"control1_root",100,"No Expression",64
"149","Downstream","H3K27me1",0,"control1_root",120,"No Expression",64
"150","DownstreamIntergenic","H3K27me1",0,"control1_root",140,"No Expression",64
"151","UpstreamIntergenic","H4K16ac",0,"control1_root",-60,"No Expression",64
"152","Promotor1000","H4K16ac",0,"control1_root",-40,"No Expression",64
"153","Promotor500","H4K16ac",0,"control1_root",-20,"No Expression",64
"154","Gene20","H4K16ac",0,"control1_root",20,"No Expression",64
"155","Gene40","H4K16ac",0,"control1_root",40,"No Expression",64
"156","Gene60","H4K16ac",0,"control1_root",60,"No Expression",64
"157","Gene80","H4K16ac",0,"control1_root",80,"No Expression",64
"158","Gene100","H4K16ac",0,"control1_root",100,"No Expression",64
"159","Downstream","H4K16ac",0,"control1_root",120,"No Expression",64
"160","DownstreamIntergenic","H4K16ac",0,"control1_root",140,"No Expression",64
"161","UpstreamIntergenic","H3K14ac",0,"control1_root",-60,"No Expression",64
"162","Promotor1000","H3K14ac",0,"control1_root",-40,"No Expression",64
"163","Promotor500","H3K14ac",0,"control1_root",-20,"No Expression",64
"164","Gene20","H3K14ac",0,"control1_root",20,"No Expression",64
"165","Gene40","H3K14ac",0,"control1_root",40,"No Expression",64
"166","Gene60","H3K14ac",0,"control1_root",60,"No Expression",64
