Gene,Emoy2_0dpi,Emoy2_1dpi,Emoy2_3dpi,Emoy2_5dpi,Waco9_1dpi,Waco9_3dpi,Waco9_5dpi
AT4G16890,0,23.31852664,24.95748524,26.78168547,22.80288811,31.5147386,38.04837173
AT4G16900,0,0.748109909,0.696387048,0.620154579,0.929679111,0.5607336,0.949282727
AT4G16920,0,0.679913136,0.908165286,0.741952158,0.832303667,0.8990142,2.374882909
AT4G16930,0,0,0,0,0,0,0
AT4G16940,0,0.155627682,0.316582524,0.08525,0.368043,0.5207649,0.494590636
AT4G16950,0,26.16237418,30.09689543,28.12646442,28.92650133,31.8339509,35.62527936
AT4G16960,0,0,0,0,0,0,0
AT4G16990,15.266078,36.3332895,39.26943062,40.90572237,28.97558817,44.1630303,41.70826482
AT4G19500,0,13.79023791,14.30380524,12.71374753,14.85186356,13.129369,13.711966
AT4G19510,0,3.886480773,5.153298905,4.665571,4.738644889,5.5437143,6.250477273
AT4G19520,10.454875,3.210892318,4.509084667,4.312699842,2.257179833,6.2820341,8.850402909
AT4G19530,0,12.91954105,10.52778086,13.09189232,15.81734756,10.1278694,7.784142636
AT4G23510,0,0,0,0,0,0,0
AT4G26090,14.028554,0.088931045,0.463920286,0.168694632,0.137943167,0,0.328026273
AT4G27190,0,0,0,0.076009158,0.060661056,0.1080008,0.079442636
AT4G27220,0,0,0.041281429,0.050886789,0.045687944,0.0654016,0.096124364
AT4G33300,0,10.08435959,15.79121562,17.25707889,8.451422944,25.7685028,28.99485909
AT4G36140,0,1.663620318,2.274785048,2.211940632,1.7814375,2.3195326,2.255384909
AT4G36150,0,1.073587682,1.425708238,0.754425842,0.774700222,1.5152626,2.107241091
AT5G04720,0,6.671793364,11.97718814,11.14317768,5.030391389,15.7776579,26.46934064
AT5G05400,0,0.183717545,0.344521524,0.208037474,0.272506222,0.3350496,0.218550455
AT5G11250,0,0.826670045,0.727029619,0.988255526,0.709590667,1.0194134,0.883995364
AT5G17680,0,0,0,0,0,0,0.066229364
AT5G17880,0,3.729305273,5.068069048,4.764937684,3.7979335,5.1150637,5.738357909
AT5G17890,0,9.111808409,10.95353357,13.15906374,8.366209889,11.8574346,14.45970373
AT5G17970,0,0,0,0,0,0,0
AT5G18350,0,0,0,0.053523737,0,0,0
AT5G18360,0,0,0,0,0,0,0
AT5G18370,0,0.512241182,0.859417238,1.006953263,0.560061,1.1969764,2.084857091
AT5G22690,0,0.341448364,0.705139333,0.894021632,0.451377,1.0423091,1.042686273
AT5G40060,0,1.920018818,2.21350181,1.877533526,1.958716889,3.0290153,3.128106545
AT5G40090,0,0.077205045,0.157643762,0.178115158,0.073769278,0.3475399,0.055271727
AT5G40100,0,0.011867273,0,0,0,0,0
AT5G40910,0,1.959438136,3.073972714,2.546408,2.463662222,1.905228,2.200870636
AT5G41540,0,0,0,0,0,0,0
AT5G41550,0,0,0,0,0,0,0
AT5G41740,0,2.297232455,5.704102667,5.233530053,1.531154722,7.5970965,14.276746
AT5G41750,0,1.015378364,3.511930619,3.543953211,0.259087389,5.9784463,8.590107818
AT5G43470,0,25.68637209,30.68887076,31.75776947,27.81063339,35.686847,37.66809145
AT5G43730,1.222476,3.190267591,3.874368333,2.799938526,3.407857167,3.5061264,2.272840818
AT5G43740,0,0.911155773,0,0.916837526,0,0,1.984460636
AT5G44510,0,0.000514136,0.008774381,0.043864263,0.000138389,0,0
AT5G44870,0,3.279189636,4.154503762,3.155766947,2.975609056,4.8915885,5.281742727
AT5G45000,0,0.464679136,4.16143681,0.677859158,0,4.7332663,5.764585455
AT5G45050,0,4.394762318,5.047150667,5.731545737,3.098169222,5.8189761,6.891754091
AT5G45060,0,2.723426545,3.029043286,3.917255368,2.688259833,3.7765538,3.131228
AT5G45200,0,0,0,0,0,0,0
AT5G45210,0,0.029593909,0,0,0,0,0
AT5G45220,0,0,0,0,0,0,0.044206727
AT5G45230,0,0,0,0,0,0,0
AT5G45240,0,0,0,0.066311684,0,0,0
AT5G45250,0,4.086039864,5.276871571,5.442315368,3.535437056,7.1034792,6.972845
AT5G45260,0,1.472071227,1.957399524,2.439648,1.403309611,2.0219,2.586736091
AT5G45440,0,0.281056318,0.33754219,0.384951053,0.307837,0.5135738,0.677418727
AT5G45490,0,38.71966973,54.96553181,57.37498958,32.36053706,51.3003334,53.79764391
AT5G46260,0,1.643034455,2.208889333,2.361384474,1.358377944,2.6718604,4.138365364
AT5G46270,0,3.069210136,4.252955095,3.884845053,3.588164667,3.732646,4.974624727
AT5G46450,0,6.734911045,6.532858952,7.154378158,6.696400611,8.0141163,8.356853364
AT5G46470,11.972697,5.148318818,5.484790667,5.424067526,4.130724722,6.8475437,7.065891545
AT5G46490,0,4.664546909,5.824428524,4.953836632,4.1303465,6.1826281,6.113313182
AT5G46510,0,3.676101409,3.589885571,3.590827368,2.687109,4.4002381,4.023792545
AT5G46520,0,1.764553455,3.257630619,3.520305737,1.582510611,2.8067004,6.653244727
AT5G47250,0,1.118830545,1.193177905,0.835611579,0.859002444,1.5611748,1.406257091
AT5G47260,0,0,0,0,0,0,0
AT5G47280,0,0,0,0,0,0,0
AT5G48620,13.6008825,14.66835741,15.37065548,13.47021084,14.30457172,17.6157765,18.06916673
AT5G48770,0,0,0,0.052929368,0,0,0
AT5G48780,0,0.123551136,0.020292,0.127830368,0.028472833,0,0.206920091
AT5G49140,0,0,0,0,0,0,0
AT5G51630,0,0.8501435,1.414008238,1.898105368,1.259594333,2.6033408,5.437930182
AT5G58120,7.2458995,1.147066409,1.819043905,1.724883158,0.581099333,2.683696,4.988776818
AT5G63020,0,4.417584091,4.770192524,5.654570947,4.790427167,5.4157609,6.271494636
AT5G66900,12.2775525,5.435591136,6.353913429,7.696511263,5.755644611,8.6245656,8.340855182
AT5G66910,0,5.434391909,7.174916238,6.019001158,3.583963611,10.9982292,11.86137227
