Gene,Emoy2_0ddpi,Emoy2_1ddpi,Emoy2_3ddpi,Emoy2_5ddpi,Waco9_0ddpi,Waco9_1ddpi,Waco9_3ddpi,Waco9_5ddpi
AT5G17890,0,16.48416667,18.86291667,21.63916667,0,15.23916667,19.25666667,23.2675
AT5G17970,0,0,0,0,0,0,0,0
AT5G18350,0,0,0,0.085416667,0,0,0,0.121666667
AT5G18360,0,1.185416667,2.280833333,2.055,0,0.994166667,2.729166667,3.580833333
AT5G18370,0,0.483333333,0.713333333,0.942083333,0,0.544166667,1.141666667,2.6325
AT5G22690,0,0.730416667,1.206666667,1.734583333,0,0.9825,1.5375,1.76
AT5G40060,0,3.092916667,3.7075,2.79875,0,2.832916667,4.505833333,5.071666667
AT5G40090,0,0.15,0.215416667,0.54,0,0.205833333,0.631666667,0.115
AT5G40100,0,0.025,0,0,0,0,0,0
AT5G40910,0,8.873333333,10.25458333,9.94375,2.458333333,8.955833333,11.9225,11.66
AT5G41540,0,0,0,0,0,0,0,0
AT5G41550,0,0,0,0,0,0,0,0
AT5G41740,0,2.985416667,5.80375,5.853333333,0,1.355833333,9.654166667,14.62416667
AT5G41750,0,1.776666667,6.975833333,6.940416667,0,0.41625,10.42416667,18.33083333
AT5G43470,3.81,36.56166667,42.80208333,44.03333333,0,39.44875,45.74083333,45.89666667
AT5G43725,0,0.865833333,0,1.206666667,0,0.3025,1.5375,0.809166667
AT5G43730,5.471666667,2.773333333,2.625416667,1.9625,0.654166667,2.3625,2.500833333,2.285833333
AT5G43740,0,8.259583333,8.021666667,8.495416667,0,7.677083333,7.5075,6.730833333
AT5G44510,1.655,5.419166667,4.284166667,4.34,3.2975,5.9,3.5775,5.565
AT5G44870,0,5.315,6.60375,5.4825,0,5.248333333,7.435833333,7.89
AT5G45000,0,0.820416667,5.330416667,3.021666667,0,0.057916667,5.8425,6.556666667
AT5G45050,0,6.574583333,7.1675,7.741666667,0,5.1075,8.113333333,7.829166667
AT5G45060,0,5.278333333,5.234166667,6.720416667,0,4.790833333,5.965,5.098333333
AT5G45200,0,0,0,0,0,0,0,0
AT5G45210,0,0.0525,0,0,0,0,0,0
AT5G45220,0,0,0,0,0,0,0,0.109166667
AT5G45230,0,0,0,0,0,0,0,0
AT5G45240,0,0,0,0,0,0,0,0
AT5G45250,0,7.31875,9.47125,9.545833333,0,6.012916667,12.02,11.24666667
AT5G45260,0,2.4275,2.9425,3.705416667,0,2.513333333,2.611666667,4.196666667
AT5G45440,0,0.533333333,0.6675,0.9,0,0.509583333,0.901666667,1.153333333
AT5G45490,19.6575,62.79541667,80.335,83.91125,25.22916667,53.39958333,76.66333333,76.645
AT5G46260,0,2.794166667,3.530833333,3.826666667,0,2.32375,4.1875,6.4625
AT5G46270,0,5.305416667,6.22375,6.159166667,0,5.85875,6.020833333,7.7175
AT5G46450,0,12.02291667,11.52,12.91416667,6.165833333,12.265,13.40666667,14.19916667
AT5G46470,0,7.4125,7.994583333,8.19625,0,6.519583333,9.863333333,8.99
AT5G46490,0,6.900416667,8.489583333,6.826666667,0,6.619583333,10.37916667,9.156666667
