"","geneId","FPKM","tissue","ExpressionLevel"
"104","AT1G56520",2.64152962385321,"seedlings","Low Expression"
"105","AT5G41740",6.00205533944954,"seedlings","Low Expression"
"106","AT3G14470",2.09167774311927,"seedlings","Low Expression"
"107","AT1G72870",0.732202834862385,"seedlings","No Expression"
"108","AT5G45210",0.79829919266055,"seedlings","No Expression"
"109","AT5G46520",1.82129586238532,"seedlings","Low Expression"
"110","AT1G58848",14.2418955688073,"seedlings","Low Expression"
"111","AT1G56510",6.00233188073395,"seedlings","Low Expression"
"112","AT4G23510",2.85049462385321,"seedlings","Low Expression"
"113","AT4G16920",4.59569359633028,"seedlings","Low Expression"
"114","AT1G63860",5.01618082568807,"seedlings","Low Expression"
"115","AT4G16930",0,"seedlings","No Expression"
"116","AT1G10920",2.46634150458716,"seedlings","Low Expression"
"117","AT5G45490",33.4984143027523,"seedlings","Low Expression"
"118","AT3G51560",0.0139466422018349,"seedlings","No Expression"
"119","AT4G36150",1.90727079816514,"seedlings","Low Expression"
"120","AT1G72890",4.41999406422018,"seedlings","Low Expression"
"121","AT4G12010",2.79451695412844,"seedlings","Low Expression"
"122","AT5G48620",23.8705306238532,"seedlings","Low Expression"
"123","AT5G40910",6.70989163302752,"seedlings","Low Expression"
"124","AT1G12220",2.78868150458716,"seedlings","Low Expression"
"125","AT1G65850",0.195570100917431,"seedlings","No Expression"
"126","AT5G41540",0.0118752385321101,"seedlings","No Expression"
"127","AT5G45230",0.000522403669724771,"seedlings","No Expression"
"128","AT5G45050",6.07710572477064,"seedlings","Low Expression"
"129","AT2G17060",0.295066220183486,"seedlings","No Expression"
"130","AT4G12020",4.08092351376147,"seedlings","Low Expression"
"131","AT5G40100",0.943633036697248,"seedlings","No Expression"
"132","AT1G12210",1.38325379816514,"seedlings","Low Expression"
"133","AT5G43740",3.5296750733945,"seedlings","Low Expression"
"134","AT1G59218",24.1792538440367,"seedlings","Low Expression"
"135","AT1G72840",2.05536866972477,"seedlings","Low Expression"
"136","AT1G63880",13.8160994036697,"seedlings","Low Expression"
"137","AT1G59124",9.96053491743119,"seedlings","Low Expression"
"138","AT2G16870",0.840742688073394,"seedlings","No Expression"
"139","AT4G16950",25.8143733761468,"seedlings","Low Expression"
"140","AT1G72940",8.88129924770642,"seedlings","Low Expression"
"141","AT3G14460",0.415265412844037,"seedlings","No Expression"
"142","AT5G45440",1.33531812844037,"seedlings","Low Expression"
"143","AT1G72860",0.259041229357798,"seedlings","No Expression"
"144","AT5G66910",3.87361767889908,"seedlings","Low Expression"
"145","AT1G57650",0.0595459724770642,"seedlings","No Expression"
"146","AT5G45250",5.47912436697248,"seedlings","Low Expression"
"147","AT5G46470",8.97043764220184,"seedlings","Low Expression"
"148","AT5G18350",0.0597874220183486,"seedlings","No Expression"
"149","AT5G44510",0.72994895412844,"seedlings","No Expression"
"150","AT4G26090",0.559443137614679,"seedlings","No Expression"
"151","AT1G58602",29.5578144770642,"seedlings","Low Expression"
