"","geneId","FPKM","tissue","ExpressionLevel"
"116","AT5G45240",0.218685588235294,"root","No Expression"
"117","AT4G33300",29.8502300588235,"root","Low Expression"
"118","AT4G16950",4.52497088235294,"root","Low Expression"
"119","AT5G46520",2.49378317647059,"root","Low Expression"
"120","AT1G10920",0.692885470588235,"root","No Expression"
"121","AT5G45230",0.0751351764705882,"root","No Expression"
"122","AT4G36150",2.08591852941176,"root","Low Expression"
"123","AT1G17610",0.112650470588235,"root","No Expression"
"124","AT1G61310",1.67548411764706,"root","Low Expression"
"125","AT2G17060",1.52597417647059,"root","Low Expression"
"126","AT5G43730",3.85265570588235,"root","Low Expression"
"127","AT1G17600",0.0668252352941176,"root","No Expression"
"128","AT1G61300",0.518881117647059,"root","No Expression"
"129","AT5G45220",4.673634,"root","Low Expression"
"130","AT1G63880",0.785889647058823,"root","No Expression"
"131","AT5G43740",0.239692705882353,"root","No Expression"
"132","AT5G45260",6.49052735294118,"root","Low Expression"
"133","AT5G41550",5.41554811764706,"root","Low Expression"
"134","AT1G58400",5.66056635294118,"root","Low Expression"
"135","AT1G64070",0.435378941176471,"root","No Expression"
"136","AT1G63350",0.811045705882353,"root","No Expression"
"137","AT5G44870",0.835719352941176,"root","No Expression"
"138","AT4G14370",4.54842064705882,"root","Low Expression"
"139","AT1G63750",0.962805941176471,"root","No Expression"
"140","AT1G58848",1.19004688235294,"root","Low Expression"
"141","AT1G63870",0.0489774117647059,"root","No Expression"
"142","AT1G72840",5.93593276470588,"root","Low Expression"
"143","AT5G63020",2.37077994117647,"root","Low Expression"
"144","AT1G12220",1.90522576470588,"root","Low Expression"
"145","AT5G51630",8.85326382352941,"root","Low Expression"
"146","AT5G49140",0.209482117647059,"root","No Expression"
"147","AT1G72860",2.26077252941176,"root","Low Expression"
"148","AT5G45060",3.91409994117647,"root","Low Expression"
"149","AT1G17615",0.0207875882352941,"root","No Expression"
"150","AT3G25510",1.24713058823529,"root","Low Expression"
"151","AT5G17970",0.0950019411764706,"root","No Expression"
