"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"75","Gene40","H3K36me3",0,"control1_seedlings",40,"No Expression",44
"76","Gene60","H3K36me3",0.00289713197167393,"control1_seedlings",60,"No Expression",44
"77","Gene80","H3K36me3",0.0227272727272727,"control1_seedlings",80,"No Expression",44
"78","Gene100","H3K36me3",0.0227272727272727,"control1_seedlings",100,"No Expression",44
"79","Downstream","H3K36me3",0.0227272727272727,"control1_seedlings",120,"No Expression",44
"80","DownstreamIntergenic","H3K36me3",0.00521761472237074,"control1_seedlings",140,"No Expression",44
"81","UpstreamIntergenic","H3K27ac",0.00248057449652267,"control1_seedlings",-60,"No Expression",44
"82","Promotor1000","H3K27ac",0.0579772727272727,"control1_seedlings",-40,"No Expression",44
"83","Promotor500","H3K27ac",0.0372272727272727,"control1_seedlings",-20,"No Expression",44
"84","Gene20","H3K27ac",0.0227272727272727,"control1_seedlings",20,"No Expression",44
"85","Gene40","H3K27ac",0.0172209026127991,"control1_seedlings",40,"No Expression",44
"86","Gene60","H3K27ac",0,"control1_seedlings",60,"No Expression",44
"87","Gene80","H3K27ac",0,"control1_seedlings",80,"No Expression",44
"88","Gene100","H3K27ac",0,"control1_seedlings",100,"No Expression",44
"89","Downstream","H3K27ac",0.00113636363636364,"control1_seedlings",120,"No Expression",44
"90","DownstreamIntergenic","H3K27ac",0,"control1_seedlings",140,"No Expression",44
"91","UpstreamIntergenic","H4K5ac",0.00470353200717797,"control1_seedlings",-60,"No Expression",44
"92","Promotor1000","H4K5ac",0.0565909090909091,"control1_seedlings",-40,"No Expression",44
"93","Promotor500","H4K5ac",0.0400909090909091,"control1_seedlings",-20,"No Expression",44
"94","Gene20","H4K5ac",0.044287235178871,"control1_seedlings",20,"No Expression",44
"95","Gene40","H4K5ac",0.0552712501741884,"control1_seedlings",40,"No Expression",44
"96","Gene60","H4K5ac",0.000866435617168755,"control1_seedlings",60,"No Expression",44
"97","Gene80","H4K5ac",0,"control1_seedlings",80,"No Expression",44
"98","Gene100","H4K5ac",0,"control1_seedlings",100,"No Expression",44
"99","Downstream","H4K5ac",0.00227272727272727,"control1_seedlings",120,"No Expression",44
"100","DownstreamIntergenic","H4K5ac",0,"control1_seedlings",140,"No Expression",44
"101","UpstreamIntergenic","H4K8ac",0.00191989669936343,"control1_seedlings",-60,"No Expression",44
"102","Promotor1000","H4K8ac",0.0678863636363636,"control1_seedlings",-40,"No Expression",44
