"","Region","Modification","axisGroup","ModificationDifference","Cluster"
"1","UpstreamIntergenic","H3K36me3",-60,0,"cluster 1"
"2","UpstreamIntergenic","H3K36me3",-60,0,"cluster 1"
"3","UpstreamIntergenic","H3K36me3",-60,0,"cluster 1"
"4","UpstreamIntergenic","H3K36me3",-60,0,"cluster 1"
"5","UpstreamIntergenic","H3K36me3",-60,0,"cluster 1"
"6","UpstreamIntergenic","H3K36me3",-60,0,"cluster 1"
"7","UpstreamIntergenic","H3K36me3",-60,0,"cluster 2"
"8","UpstreamIntergenic","H3K36me3",-60,0,"cluster 2"
"9","UpstreamIntergenic","H3K36me3",-60,0,"cluster 2"
"10","UpstreamIntergenic","H3K36me3",-60,0,"cluster 3"
"11","UpstreamIntergenic","H3K36me3",-60,0,"cluster 4"
"12","UpstreamIntergenic","H3K36me3",-60,0,"cluster 4"
"13","UpstreamIntergenic","H3K36me3",-60,0,"cluster 4"
"14","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"15","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"16","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"17","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"18","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"19","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"20","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"21","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"22","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"23","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"24","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"25","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"26","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"27","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"28","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"29","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"30","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"31","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"32","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"33","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
"34","UpstreamIntergenic","H3K36me3",-60,0,"cluster 5"
