"","Region","Modification","Frequency","n","axisGroup","Expression","SampleGenes"
"64","Gene20","H3-3",56.25,54,20,"No Expression","clusteredNLRs_Leaf"
"65","Gene20","H3K9me2",2.08333333333333,2,20,"No Expression","clusteredNLRs_Leaf"
"66","Gene20","H3K27me3",33.3333333333333,32,20,"No Expression","clusteredNLRs_Leaf"
"67","Gene20","H2A-Z",83.3333333333333,80,20,"No Expression","clusteredNLRs_Leaf"
"68","Gene20","H2AK121ub",44.7916666666667,43,20,"No Expression","clusteredNLRs_Leaf"
"69","Gene20","H3ac",0,0,20,"No Expression","clusteredNLRs_Leaf"
"70","Gene20","H3K4me3",77.0833333333333,74,20,"No Expression","clusteredNLRs_Leaf"
"71","Gene20","H3K36me3",53.125,51,20,"No Expression","clusteredNLRs_Leaf"
"72","Gene20","H3K27ac",36.4583333333333,35,20,"No Expression","clusteredNLRs_Leaf"
"73","Gene20","H4K5ac",56.25,54,20,"No Expression","clusteredNLRs_Leaf"
"74","Gene20","H4K8ac",59.375,57,20,"No Expression","clusteredNLRs_Leaf"
"75","Gene20","H3-1",65.625,63,20,"No Expression","clusteredNLRs_Leaf"
"76","Gene20","H3K9ac",75,72,20,"No Expression","clusteredNLRs_Leaf"
"77","Gene20","H4K12ac",52.0833333333333,50,20,"No Expression","clusteredNLRs_Leaf"
"78","Gene20","H3K27me1",48.9583333333333,47,20,"No Expression","clusteredNLRs_Leaf"
"79","Gene20","H4K16ac",52.0833333333333,50,20,"No Expression","clusteredNLRs_Leaf"
"80","Gene20","H3K14ac",48.9583333333333,47,20,"No Expression","clusteredNLRs_Leaf"
"81","Gene20","H2A",29.1666666666667,28,20,"No Expression","clusteredNLRs_Leaf"
"82","Gene20","H3",29.1666666666667,28,20,"No Expression","clusteredNLRs_Leaf"
"83","Gene20","H2A-X",11.4583333333333,11,20,"No Expression","clusteredNLRs_Leaf"
"84","Gene20","H3K18ac",26.0416666666667,25,20,"No Expression","clusteredNLRs_Leaf"
"85","Gene40","H3-3",61.4583333333333,59,40,"No Expression","clusteredNLRs_Leaf"
"86","Gene40","H3K9me2",2.08333333333333,2,40,"No Expression","clusteredNLRs_Leaf"
"87","Gene40","H3K27me3",34.375,33,40,"No Expression","clusteredNLRs_Leaf"
"88","Gene40","H2A-Z",61.4583333333333,59,40,"No Expression","clusteredNLRs_Leaf"
"89","Gene40","H2AK121ub",12.5,12,40,"No Expression","clusteredNLRs_Leaf"
"90","Gene40","H3ac",0,0,40,"No Expression","clusteredNLRs_Leaf"
"91","Gene40","H3K4me3",57.2916666666667,55,40,"No Expression","clusteredNLRs_Leaf"
"92","Gene40","H3K36me3",44.7916666666667,43,40,"No Expression","clusteredNLRs_Leaf"
"93","Gene40","H3K27ac",15.625,15,40,"No Expression","clusteredNLRs_Leaf"
"94","Gene40","H4K5ac",16.6666666666667,16,40,"No Expression","clusteredNLRs_Leaf"
"95","Gene40","H4K8ac",22.9166666666667,22,40,"No Expression","clusteredNLRs_Leaf"
"96","Gene40","H3-1",72.9166666666667,70,40,"No Expression","clusteredNLRs_Leaf"
"97","Gene40","H3K9ac",42.7083333333333,41,40,"No Expression","clusteredNLRs_Leaf"
"98","Gene40","H4K12ac",16.6666666666667,16,40,"No Expression","clusteredNLRs_Leaf"
"99","Gene40","H3K27me1",51.0416666666667,49,40,"No Expression","clusteredNLRs_Leaf"
"100","Gene40","H4K16ac",20.8333333333333,20,40,"No Expression","clusteredNLRs_Leaf"
"101","Gene40","H3K14ac",28.125,27,40,"No Expression","clusteredNLRs_Leaf"
"102","Gene40","H2A",51.0416666666667,49,40,"No Expression","clusteredNLRs_Leaf"
"103","Gene40","H3",29.1666666666667,28,40,"No Expression","clusteredNLRs_Leaf"
"104","Gene40","H2A-X",21.875,21,40,"No Expression","clusteredNLRs_Leaf"
"105","Gene40","H3K18ac",4.16666666666667,4,40,"No Expression","clusteredNLRs_Leaf"
"106","Gene60","H3-3",62.5,60,60,"No Expression","clusteredNLRs_Leaf"
"107","Gene60","H3K9me2",3.125,3,60,"No Expression","clusteredNLRs_Leaf"
"108","Gene60","H3K27me3",33.3333333333333,32,60,"No Expression","clusteredNLRs_Leaf"
"109","Gene60","H2A-Z",57.2916666666667,55,60,"No Expression","clusteredNLRs_Leaf"
"110","Gene60","H2AK121ub",9.375,9,60,"No Expression","clusteredNLRs_Leaf"
"111","Gene60","H3ac",0,0,60,"No Expression","clusteredNLRs_Leaf"
"112","Gene60","H3K4me3",52.0833333333333,50,60,"No Expression","clusteredNLRs_Leaf"
"113","Gene60","H3K36me3",38.5416666666667,37,60,"No Expression","clusteredNLRs_Leaf"
