"","Region","Modification","Frequency","axisGroup","Expression","SampleGenes"
"71","Gene20","H3K36me3",66.6666666666667,20,"Intermediate Expression","control6_Seedling"
"72","Gene20","H3K27ac",66.6666666666667,20,"Intermediate Expression","control6_Seedling"
"73","Gene20","H4K5ac",55.5555555555556,20,"Intermediate Expression","control6_Seedling"
"74","Gene20","H4K8ac",66.6666666666667,20,"Intermediate Expression","control6_Seedling"
"75","Gene20","H3-1",33.3333333333333,20,"Intermediate Expression","control6_Seedling"
"76","Gene20","H3K9ac",88.8888888888889,20,"Intermediate Expression","control6_Seedling"
"77","Gene20","H4K12ac",66.6666666666667,20,"Intermediate Expression","control6_Seedling"
"78","Gene20","H3K27me1",22.2222222222222,20,"Intermediate Expression","control6_Seedling"
"79","Gene20","H4K16ac",66.6666666666667,20,"Intermediate Expression","control6_Seedling"
"80","Gene20","H3K14ac",55.5555555555556,20,"Intermediate Expression","control6_Seedling"
"81","Gene20","H2A",33.3333333333333,20,"Intermediate Expression","control6_Seedling"
"82","Gene20","H3",33.3333333333333,20,"Intermediate Expression","control6_Seedling"
"83","Gene20","H2A-X",11.1111111111111,20,"Intermediate Expression","control6_Seedling"
"84","Gene20","H3K18ac",55.5555555555556,20,"Intermediate Expression","control6_Seedling"
"85","Gene40","H3-3",44.4444444444444,40,"Intermediate Expression","control6_Seedling"
"86","Gene40","H3K9me2",11.1111111111111,40,"Intermediate Expression","control6_Seedling"
"87","Gene40","H3K27me3",33.3333333333333,40,"Intermediate Expression","control6_Seedling"
"88","Gene40","H2A-Z",44.4444444444444,40,"Intermediate Expression","control6_Seedling"
"89","Gene40","H2AK121ub",33.3333333333333,40,"Intermediate Expression","control6_Seedling"
"90","Gene40","H3ac",0,40,"Intermediate Expression","control6_Seedling"
"91","Gene40","H3K4me3",100,40,"Intermediate Expression","control6_Seedling"
"92","Gene40","H3K36me3",55.5555555555556,40,"Intermediate Expression","control6_Seedling"
"93","Gene40","H3K27ac",33.3333333333333,40,"Intermediate Expression","control6_Seedling"
"94","Gene40","H4K5ac",11.1111111111111,40,"Intermediate Expression","control6_Seedling"
"95","Gene40","H4K8ac",22.2222222222222,40,"Intermediate Expression","control6_Seedling"
"96","Gene40","H3-1",55.5555555555556,40,"Intermediate Expression","control6_Seedling"
"97","Gene40","H3K9ac",66.6666666666667,40,"Intermediate Expression","control6_Seedling"
"98","Gene40","H4K12ac",22.2222222222222,40,"Intermediate Expression","control6_Seedling"
"99","Gene40","H3K27me1",55.5555555555556,40,"Intermediate Expression","control6_Seedling"
"100","Gene40","H4K16ac",33.3333333333333,40,"Intermediate Expression","control6_Seedling"
"101","Gene40","H3K14ac",33.3333333333333,40,"Intermediate Expression","control6_Seedling"
"102","Gene40","H2A",44.4444444444444,40,"Intermediate Expression","control6_Seedling"
"103","Gene40","H3",33.3333333333333,40,"Intermediate Expression","control6_Seedling"
"104","Gene40","H2A-X",33.3333333333333,40,"Intermediate Expression","control6_Seedling"
"105","Gene40","H3K18ac",11.1111111111111,40,"Intermediate Expression","control6_Seedling"
"106","Gene60","H3-3",55.5555555555556,60,"Intermediate Expression","control6_Seedling"
"107","Gene60","H3K9me2",11.1111111111111,60,"Intermediate Expression","control6_Seedling"
"108","Gene60","H3K27me3",11.1111111111111,60,"Intermediate Expression","control6_Seedling"
"109","Gene60","H2A-Z",44.4444444444444,60,"Intermediate Expression","control6_Seedling"
"110","Gene60","H2AK121ub",22.2222222222222,60,"Intermediate Expression","control6_Seedling"
"111","Gene60","H3ac",0,60,"Intermediate Expression","control6_Seedling"
"112","Gene60","H3K4me3",55.5555555555556,60,"Intermediate Expression","control6_Seedling"
