"","Region","Modification","Proportion","axisGroup","Expression","SampleGenes"
"71","UpstreamIntergenic","H3K36me3",0,-60,"Intermediate Expression","control6_Seedling"
"72","UpstreamIntergenic","H3K36me3",0,-60,"Intermediate Expression","control6_Seedling"
"73","UpstreamIntergenic","H3K27ac",0,-60,"Intermediate Expression","control6_Seedling"
"74","UpstreamIntergenic","H3K27ac",0,-60,"Intermediate Expression","control6_Seedling"
"75","UpstreamIntergenic","H3K27ac",0,-60,"Intermediate Expression","control6_Seedling"
"76","UpstreamIntergenic","H3K27ac",0,-60,"Intermediate Expression","control6_Seedling"
"77","UpstreamIntergenic","H3K27ac",0,-60,"Intermediate Expression","control6_Seedling"
"78","UpstreamIntergenic","H3K27ac",0.353256021409456,-60,"Intermediate Expression","control6_Seedling"
"79","UpstreamIntergenic","H3K27ac",0,-60,"Intermediate Expression","control6_Seedling"
"80","UpstreamIntergenic","H3K27ac",0,-60,"Intermediate Expression","control6_Seedling"
"81","UpstreamIntergenic","H3K27ac",0,-60,"Intermediate Expression","control6_Seedling"
"82","UpstreamIntergenic","H4K5ac",0,-60,"Intermediate Expression","control6_Seedling"
"83","UpstreamIntergenic","H4K5ac",0,-60,"Intermediate Expression","control6_Seedling"
"84","UpstreamIntergenic","H4K5ac",0,-60,"Intermediate Expression","control6_Seedling"
"85","UpstreamIntergenic","H4K5ac",0,-60,"Intermediate Expression","control6_Seedling"
"86","UpstreamIntergenic","H4K5ac",0,-60,"Intermediate Expression","control6_Seedling"
"87","UpstreamIntergenic","H4K5ac",0.260481712756467,-60,"Intermediate Expression","control6_Seedling"
"88","UpstreamIntergenic","H4K5ac",0,-60,"Intermediate Expression","control6_Seedling"
"89","UpstreamIntergenic","H4K5ac",0,-60,"Intermediate Expression","control6_Seedling"
"90","UpstreamIntergenic","H4K5ac",0,-60,"Intermediate Expression","control6_Seedling"
"91","UpstreamIntergenic","H4K8ac",0,-60,"Intermediate Expression","control6_Seedling"
"92","UpstreamIntergenic","H4K8ac",0,-60,"Intermediate Expression","control6_Seedling"
"93","UpstreamIntergenic","H4K8ac",0,-60,"Intermediate Expression","control6_Seedling"
"94","UpstreamIntergenic","H4K8ac",0,-60,"Intermediate Expression","control6_Seedling"
"95","UpstreamIntergenic","H4K8ac",0,-60,"Intermediate Expression","control6_Seedling"
"96","UpstreamIntergenic","H4K8ac",0.191793041926851,-60,"Intermediate Expression","control6_Seedling"
"97","UpstreamIntergenic","H4K8ac",0,-60,"Intermediate Expression","control6_Seedling"
"98","UpstreamIntergenic","H4K8ac",0,-60,"Intermediate Expression","control6_Seedling"
"99","UpstreamIntergenic","H4K8ac",0,-60,"Intermediate Expression","control6_Seedling"
"100","UpstreamIntergenic","H3-1",0,-60,"Intermediate Expression","control6_Seedling"
"101","UpstreamIntergenic","H3-1",0,-60,"Intermediate Expression","control6_Seedling"
"102","UpstreamIntergenic","H3-1",0,-60,"Intermediate Expression","control6_Seedling"
"103","UpstreamIntergenic","H3-1",0,-60,"Intermediate Expression","control6_Seedling"
"104","UpstreamIntergenic","H3-1",0,-60,"Intermediate Expression","control6_Seedling"
"105","UpstreamIntergenic","H3-1",0,-60,"Intermediate Expression","control6_Seedling"
"106","UpstreamIntergenic","H3-1",0,-60,"Intermediate Expression","control6_Seedling"
"107","UpstreamIntergenic","H3-1",0,-60,"Intermediate Expression","control6_Seedling"
"108","UpstreamIntergenic","H3-1",0,-60,"Intermediate Expression","control6_Seedling"
"109","UpstreamIntergenic","H3K9ac",0.377083333333333,-60,"Intermediate Expression","control6_Seedling"
"110","UpstreamIntergenic","H3K9ac",0,-60,"Intermediate Expression","control6_Seedling"
"111","UpstreamIntergenic","H3K9ac",0,-60,"Intermediate Expression","control6_Seedling"
"112","UpstreamIntergenic","H3K9ac",0,-60,"Intermediate Expression","control6_Seedling"
"113","UpstreamIntergenic","H3K9ac",0,-60,"Intermediate Expression","control6_Seedling"
"114","UpstreamIntergenic","H3K9ac",1,-60,"Intermediate Expression","control6_Seedling"
"115","UpstreamIntergenic","H3K9ac",0.693578670672174,-60,"Intermediate Expression","control6_Seedling"
"116","UpstreamIntergenic","H3K9ac",0,-60,"Intermediate Expression","control6_Seedling"
"117","UpstreamIntergenic","H3K9ac",0,-60,"Intermediate Expression","control6_Seedling"
"118","UpstreamIntergenic","H4K12ac",0,-60,"Intermediate Expression","control6_Seedling"
"119","UpstreamIntergenic","H4K12ac",0,-60,"Intermediate Expression","control6_Seedling"
"120","UpstreamIntergenic","H4K12ac",0,-60,"Intermediate Expression","control6_Seedling"
"121","UpstreamIntergenic","H4K12ac",0,-60,"Intermediate Expression","control6_Seedling"
"122","UpstreamIntergenic","H4K12ac",0,-60,"Intermediate Expression","control6_Seedling"
"123","UpstreamIntergenic","H4K12ac",0.296164139161463,-60,"Intermediate Expression","control6_Seedling"
"124","UpstreamIntergenic","H4K12ac",0,-60,"Intermediate Expression","control6_Seedling"
"125","UpstreamIntergenic","H4K12ac",0,-60,"Intermediate Expression","control6_Seedling"
