"","Gene","Expression","Tissue","ExpressionLevel"
"51","AT5G17890",20.168085106383,"leaves","Low Expression"
"120","AT5G17970",0.0122695035460993,"leaves","No Expression"
"1","AT5G18350",0.198156028368794,"leaves","No Expression"
"109","AT5G18360",6.52354609929078,"leaves","Low Expression"
"45","AT5G18370",5.99879432624113,"leaves","Low Expression"
"72","AT5G22690",10.2014893617021,"leaves","Low Expression"
"50","AT5G40060",16.3275886524823,"leaves","Low Expression"
"155","AT5G40090",0.473333333333333,"leaves","No Expression"
"52","AT5G40100",0.311702127659574,"leaves","No Expression"
"144","AT5G40910",19.4733333333333,"leaves","Low Expression"
"141","AT5G41540",0.00113475177304965,"leaves","No Expression"
"19","AT5G41550",0.798723404255319,"leaves","No Expression"
"7","AT5G41740",25.8972340425532,"leaves","Low Expression"
"93","AT5G41750",18.6617730496454,"leaves","Low Expression"
"31","AT5G43470",64.3005673758865,"leaves","Intermediate Expression"
"96","AT5G43725",8.15304964539007,"leaves","Low Expression"
"135","AT5G43730",3.21879432624113,"leaves","Low Expression"
"121","AT5G43740",18.8464539007092,"leaves","Low Expression"
"103","AT5G44510",18.9378723404255,"leaves","Low Expression"
"22","AT5G44870",26.9712056737589,"leaves","Low Expression"
"132","AT5G45000",5.31780141843972,"leaves","Low Expression"
"75","AT5G45050",19.468865248227,"leaves","Low Expression"
"16","AT5G45060",21.6563829787234,"leaves","Low Expression"
"60","AT5G45200",0.00127659574468085,"leaves","No Expression"
"78","AT5G45210",0.00702127659574468,"leaves","No Expression"
"98","AT5G45220",0.41177304964539,"leaves","No Expression"
"118","AT5G45230",0,"leaves","No Expression"
"137","AT5G45240",0.0417021276595745,"leaves","No Expression"
"153","AT5G45250",20.8565957446809,"leaves","Low Expression"
"12","AT5G45260",15.5160992907801,"leaves","Low Expression"
"30","AT5G45440",0.734893617021277,"leaves","No Expression"
"158","AT5G45490",43.2063829787234,"leaves","Low Expression"
"73","AT5G46260",14.9866666666667,"leaves","Low Expression"
"54","AT5G46270",21.3890070921986,"leaves","Low Expression"
"11","AT5G46450",20.060780141844,"leaves","Low Expression"
"48","AT5G46470",33.3458156028369,"leaves","Low Expression"
"129","AT5G46490",30.9929078014184,"leaves","Low Expression"
"27","AT5G46510",10.8051063829787,"leaves","Low Expression"
"130","AT5G46520",3.70255319148936,"leaves","Low Expression"
"108","AT5G47250",8.66446808510638,"leaves","Low Expression"
"80","AT5G47260",0.00404255319148936,"leaves","No Expression"
"145","AT5G47280",0.00113475177304965,"leaves","No Expression"
"77","AT5G48620",53.7869503546099,"leaves","Intermediate Expression"
"68","AT5G48770",0.22886524822695,"leaves","No Expression"
"66","AT5G48775",3.39815602836879,"leaves","Low Expression"
"69","AT5G48780",1.12950354609929,"leaves","Low Expression"
"81","AT5G49140",0,"leaves","No Expression"
"57","AT5G51630",5.28836879432624,"leaves","Low Expression"
"154","AT5G58120",24.5014184397163,"leaves","Low Expression"
"125","AT5G63020",31.5604255319149,"leaves","Low Expression"
"24","AT5G66900",27.5849645390071,"leaves","Low Expression"
"43","AT5G66910",13.3314893617021,"leaves","Low Expression"
