"","Region","Modification","Frequency","axisGroup","Expression","dataToAnalyse"
"85","Gene40","H3-3",0,40,"No Expression","control1_leaves"
"86","Gene40","H3K9me2",0,40,"No Expression","control1_leaves"
"87","Gene40","H3K27me3",45.9016393442623,40,"No Expression","control1_leaves"
"88","Gene40","H2A-Z",67.2131147540984,40,"No Expression","control1_leaves"
"89","Gene40","H2AK121ub",0,40,"No Expression","control1_leaves"
"90","Gene40","H3ac",0,40,"No Expression","control1_leaves"
"91","Gene40","H3K4me3",3.27868852459016,40,"No Expression","control1_leaves"
"92","Gene40","H3K36me3",1.63934426229508,40,"No Expression","control1_leaves"
"93","Gene40","H3K27ac",0,40,"No Expression","control1_leaves"
"94","Gene40","H4K5ac",0,40,"No Expression","control1_leaves"
"95","Gene40","H4K8ac",0,40,"No Expression","control1_leaves"
"96","Gene40","H3-1",0,40,"No Expression","control1_leaves"
"97","Gene40","H3K9ac",0,40,"No Expression","control1_leaves"
"98","Gene40","H4K12ac",0,40,"No Expression","control1_leaves"
"99","Gene40","H3K27me1",36.0655737704918,40,"No Expression","control1_leaves"
"100","Gene40","H4K16ac",0,40,"No Expression","control1_leaves"
"101","Gene40","H3K14ac",0,40,"No Expression","control1_leaves"
"102","Gene40","H2A",1.63934426229508,40,"No Expression","control1_leaves"
"103","Gene40","H3",1.63934426229508,40,"No Expression","control1_leaves"
"104","Gene40","H2A-X",0,40,"No Expression","control1_leaves"
"105","Gene40","H3K18ac",0,40,"No Expression","control1_leaves"
"106","Gene60","H3-3",0,60,"No Expression","control1_leaves"
"107","Gene60","H3K9me2",0,60,"No Expression","control1_leaves"
"108","Gene60","H3K27me3",44.2622950819672,60,"No Expression","control1_leaves"
"109","Gene60","H2A-Z",68.8524590163934,60,"No Expression","control1_leaves"
"110","Gene60","H2AK121ub",0,60,"No Expression","control1_leaves"
"111","Gene60","H3ac",0,60,"No Expression","control1_leaves"
"112","Gene60","H3K4me3",0,60,"No Expression","control1_leaves"
"113","Gene60","H3K36me3",1.63934426229508,60,"No Expression","control1_leaves"
"114","Gene60","H3K27ac",0,60,"No Expression","control1_leaves"
"115","Gene60","H4K5ac",0,60,"No Expression","control1_leaves"
"116","Gene60","H4K8ac",0,60,"No Expression","control1_leaves"
"117","Gene60","H3-1",0,60,"No Expression","control1_leaves"
"118","Gene60","H3K9ac",0,60,"No Expression","control1_leaves"
"119","Gene60","H4K12ac",0,60,"No Expression","control1_leaves"
"120","Gene60","H3K27me1",40.9836065573771,60,"No Expression","control1_leaves"
"121","Gene60","H4K16ac",0,60,"No Expression","control1_leaves"
"122","Gene60","H3K14ac",0,60,"No Expression","control1_leaves"
"123","Gene60","H2A",6.55737704918033,60,"No Expression","control1_leaves"
"124","Gene60","H3",0,60,"No Expression","control1_leaves"
"125","Gene60","H2A-X",0,60,"No Expression","control1_leaves"
"126","Gene60","H3K18ac",0,60,"No Expression","control1_leaves"
"127","Gene80","H3-3",0,80,"No Expression","control1_leaves"
"128","Gene80","H3K9me2",0,80,"No Expression","control1_leaves"
"129","Gene80","H3K27me3",40.9836065573771,80,"No Expression","control1_leaves"
"130","Gene80","H2A-Z",67.2131147540984,80,"No Expression","control1_leaves"
"131","Gene80","H2AK121ub",0,80,"No Expression","control1_leaves"
"132","Gene80","H3ac",0,80,"No Expression","control1_leaves"
"133","Gene80","H3K4me3",0,80,"No Expression","control1_leaves"
"134","Gene80","H3K36me3",0,80,"No Expression","control1_leaves"
"135","Gene80","H3K27ac",0,80,"No Expression","control1_leaves"
"136","Gene80","H4K5ac",0,80,"No Expression","control1_leaves"
"137","Gene80","H4K8ac",0,80,"No Expression","control1_leaves"
"138","Gene80","H3-1",0,80,"No Expression","control1_leaves"
"139","Gene80","H3K9ac",0,80,"No Expression","control1_leaves"
"140","Gene80","H4K12ac",0,80,"No Expression","control1_leaves"
"141","Gene80","H3K27me1",37.7049180327869,80,"No Expression","control1_leaves"
"142","Gene80","H4K16ac",0,80,"No Expression","control1_leaves"
"143","Gene80","H3K14ac",0,80,"No Expression","control1_leaves"
"144","Gene80","H2A",4.91803278688525,80,"No Expression","control1_leaves"
"145","Gene80","H3",1.63934426229508,80,"No Expression","control1_leaves"
"146","Gene80","H2A-X",0,80,"No Expression","control1_leaves"
"147","Gene80","H3K18ac",0,80,"No Expression","control1_leaves"
"148","Gene100","H3-3",0,100,"No Expression","control1_leaves"
"149","Gene100","H3K9me2",0,100,"No Expression","control1_leaves"
"150","Gene100","H3K27me3",39.344262295082,100,"No Expression","control1_leaves"
"151","Gene100","H2A-Z",63.9344262295082,100,"No Expression","control1_leaves"
"152","Gene100","H2AK121ub",0,100,"No Expression","control1_leaves"
"153","Gene100","H3ac",0,100,"No Expression","control1_leaves"
"154","Gene100","H3K4me3",1.63934426229508,100,"No Expression","control1_leaves"
"155","Gene100","H3K36me3",0,100,"No Expression","control1_leaves"
"156","Gene100","H3K27ac",0,100,"No Expression","control1_leaves"
