"","Region","Modification","Frequency","axisGroup","Expression","dataToAnalyse"
"77","Gene20","H4K12ac",13.8461538461538,20,"No Expression","control1_seedlings"
"78","Gene20","H3K27me1",0,20,"No Expression","control1_seedlings"
"79","Gene20","H4K16ac",10.7692307692308,20,"No Expression","control1_seedlings"
"80","Gene20","H3K14ac",9.23076923076923,20,"No Expression","control1_seedlings"
"81","Gene20","H2A",0,20,"No Expression","control1_seedlings"
"82","Gene20","H3",18.4615384615385,20,"No Expression","control1_seedlings"
"83","Gene20","H2A-X",0,20,"No Expression","control1_seedlings"
"84","Gene20","H3K18ac",10.7692307692308,20,"No Expression","control1_seedlings"
"85","Gene40","H3-3",50.7692307692308,40,"No Expression","control1_seedlings"
"86","Gene40","H3K9me2",1.53846153846154,40,"No Expression","control1_seedlings"
"87","Gene40","H3K27me3",53.8461538461538,40,"No Expression","control1_seedlings"
"88","Gene40","H2A-Z",78.4615384615385,40,"No Expression","control1_seedlings"
"89","Gene40","H2AK121ub",36.9230769230769,40,"No Expression","control1_seedlings"
"90","Gene40","H3ac",0,40,"No Expression","control1_seedlings"
"91","Gene40","H3K4me3",49.2307692307692,40,"No Expression","control1_seedlings"
"92","Gene40","H3K36me3",7.69230769230769,40,"No Expression","control1_seedlings"
"93","Gene40","H3K27ac",1.53846153846154,40,"No Expression","control1_seedlings"
"94","Gene40","H4K5ac",15.3846153846154,40,"No Expression","control1_seedlings"
"95","Gene40","H4K8ac",13.8461538461538,40,"No Expression","control1_seedlings"
"96","Gene40","H3-1",58.4615384615385,40,"No Expression","control1_seedlings"
"97","Gene40","H3K9ac",15.3846153846154,40,"No Expression","control1_seedlings"
"98","Gene40","H4K12ac",12.3076923076923,40,"No Expression","control1_seedlings"
"99","Gene40","H3K27me1",0,40,"No Expression","control1_seedlings"
"100","Gene40","H4K16ac",10.7692307692308,40,"No Expression","control1_seedlings"
"101","Gene40","H3K14ac",10.7692307692308,40,"No Expression","control1_seedlings"
"102","Gene40","H2A",0,40,"No Expression","control1_seedlings"
"103","Gene40","H3",23.0769230769231,40,"No Expression","control1_seedlings"
"104","Gene40","H2A-X",0,40,"No Expression","control1_seedlings"
"105","Gene40","H3K18ac",9.23076923076923,40,"No Expression","control1_seedlings"
"106","Gene60","H3-3",58.4615384615385,60,"No Expression","control1_seedlings"
"107","Gene60","H3K9me2",1.53846153846154,60,"No Expression","control1_seedlings"
"108","Gene60","H3K27me3",50.7692307692308,60,"No Expression","control1_seedlings"
"109","Gene60","H2A-Z",83.0769230769231,60,"No Expression","control1_seedlings"
"110","Gene60","H2AK121ub",41.5384615384615,60,"No Expression","control1_seedlings"
"111","Gene60","H3ac",0,60,"No Expression","control1_seedlings"
"112","Gene60","H3K4me3",43.0769230769231,60,"No Expression","control1_seedlings"
"113","Gene60","H3K36me3",7.69230769230769,60,"No Expression","control1_seedlings"
"114","Gene60","H3K27ac",0,60,"No Expression","control1_seedlings"
"115","Gene60","H4K5ac",7.69230769230769,60,"No Expression","control1_seedlings"
"116","Gene60","H4K8ac",1.53846153846154,60,"No Expression","control1_seedlings"
