"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"74","Gene20","H3K36me3",0.0610577821577217,"control1_seedlings",20,"No Expression",65
"75","Gene40","H3K36me3",0.0755839302398007,"control1_seedlings",40,"No Expression",65
"76","Gene60","H3K36me3",0.0451621669312958,"control1_seedlings",60,"No Expression",65
"77","Gene80","H3K36me3",0.0263866697101118,"control1_seedlings",80,"No Expression",65
"78","Gene100","H3K36me3",0.0277449046679816,"control1_seedlings",100,"No Expression",65
"79","Downstream","H3K36me3",0.0399230769230769,"control1_seedlings",120,"No Expression",65
"80","DownstreamIntergenic","H3K36me3",0.00353192381206635,"control1_seedlings",140,"No Expression",65
"81","UpstreamIntergenic","H3K27ac",0.0029900315381743,"control1_seedlings",-60,"No Expression",65
"82","Promotor1000","H3K27ac",0.0310307692307692,"control1_seedlings",-40,"No Expression",65
"83","Promotor500","H3K27ac",0.0392307692307692,"control1_seedlings",-20,"No Expression",65
"84","Gene20","H3K27ac",0.0259899863450159,"control1_seedlings",20,"No Expression",65
"85","Gene40","H3K27ac",0.0116572263840486,"control1_seedlings",40,"No Expression",65
"86","Gene60","H3K27ac",0,"control1_seedlings",60,"No Expression",65
"87","Gene80","H3K27ac",0,"control1_seedlings",80,"No Expression",65
"88","Gene100","H3K27ac",0,"control1_seedlings",100,"No Expression",65
"89","Downstream","H3K27ac",0.00946153846153846,"control1_seedlings",120,"No Expression",65
"90","DownstreamIntergenic","H3K27ac",0,"control1_seedlings",140,"No Expression",65
"91","UpstreamIntergenic","H4K5ac",0.00318392935870509,"control1_seedlings",-60,"No Expression",65
"92","Promotor1000","H4K5ac",0.0279692307692308,"control1_seedlings",-40,"No Expression",65
"93","Promotor500","H4K5ac",0.0708923076923077,"control1_seedlings",-20,"No Expression",65
"94","Gene20","H4K5ac",0.109492964622891,"control1_seedlings",20,"No Expression",65
"95","Gene40","H4K5ac",0.101448508875647,"control1_seedlings",40,"No Expression",65
"96","Gene60","H4K5ac",0.0210669219450215,"control1_seedlings",60,"No Expression",65
"97","Gene80","H4K5ac",0.0251511801808098,"control1_seedlings",80,"No Expression",65
"98","Gene100","H4K5ac",0.0153846153846154,"control1_seedlings",100,"No Expression",65
"99","Downstream","H4K5ac",0.0287692307692308,"control1_seedlings",120,"No Expression",65
"100","DownstreamIntergenic","H4K5ac",0,"control1_seedlings",140,"No Expression",65
"101","UpstreamIntergenic","H4K8ac",0.00129962238110755,"control1_seedlings",-60,"No Expression",65
"102","Promotor1000","H4K8ac",0.0354,"control1_seedlings",-40,"No Expression",65
"103","Promotor500","H4K8ac",0.0658461538461538,"control1_seedlings",-20,"No Expression",65
"104","Gene20","H4K8ac",0.103062669938664,"control1_seedlings",20,"No Expression",65
"105","Gene40","H4K8ac",0.0770695708686028,"control1_seedlings",40,"No Expression",65
"106","Gene60","H4K8ac",0.0153846153846154,"control1_seedlings",60,"No Expression",65
"107","Gene80","H4K8ac",0.00157357435460586,"control1_seedlings",80,"No Expression",65
"108","Gene100","H4K8ac",0.00970661217341392,"control1_seedlings",100,"No Expression",65
"109","Downstream","H4K8ac",0.017,"control1_seedlings",120,"No Expression",65
"110","DownstreamIntergenic","H4K8ac",0,"control1_seedlings",140,"No Expression",65
"111","UpstreamIntergenic","H3-1",0.0203492395137869,"control1_seedlings",-60,"No Expression",65
"112","Promotor1000","H3-1",0.0908153846153846,"control1_seedlings",-40,"No Expression",65
"113","Promotor500","H3-1",0.200523076923077,"control1_seedlings",-20,"No Expression",65
"114","Gene20","H3-1",0.479723644426727,"control1_seedlings",20,"No Expression",65
"115","Gene40","H3-1",0.555447098029894,"control1_seedlings",40,"No Expression",65
"116","Gene60","H3-1",0.549030314642288,"control1_seedlings",60,"No Expression",65
"117","Gene80","H3-1",0.533114430368334,"control1_seedlings",80,"No Expression",65
"118","Gene100","H3-1",0.398935413813162,"control1_seedlings",100,"No Expression",65
"119","Downstream","H3-1",0.195461538461538,"control1_seedlings",120,"No Expression",65
"120","DownstreamIntergenic","H3-1",0.0457238797735167,"control1_seedlings",140,"No Expression",65
"121","UpstreamIntergenic","H3K9ac",0.0152103442257871,"control1_seedlings",-60,"No Expression",65
"122","Promotor1000","H3K9ac",0.0438307692307692,"control1_seedlings",-40,"No Expression",65
"123","Promotor500","H3K9ac",0.0800615384615385,"control1_seedlings",-20,"No Expression",65
"124","Gene20","H3K9ac",0.117669830645758,"control1_seedlings",20,"No Expression",65
"125","Gene40","H3K9ac",0.120233806464343,"control1_seedlings",40,"No Expression",65
"126","Gene60","H3K9ac",0.075080663101542,"control1_seedlings",60,"No Expression",65
"127","Gene80","H3K9ac",0.0832236889308728,"control1_seedlings",80,"No Expression",65
"128","Gene100","H3K9ac",0.0559418999183606,"control1_seedlings",100,"No Expression",65
"129","Downstream","H3K9ac",0.0626153846153846,"control1_seedlings",120,"No Expression",65
"130","DownstreamIntergenic","H3K9ac",0.00826022081481119,"control1_seedlings",140,"No Expression",65
"131","UpstreamIntergenic","H4K12ac",0.00280375695199393,"control1_seedlings",-60,"No Expression",65
"132","Promotor1000","H4K12ac",0.0307076923076923,"control1_seedlings",-40,"No Expression",65
"133","Promotor500","H4K12ac",0.0567384615384615,"control1_seedlings",-20,"No Expression",65
"134","Gene20","H4K12ac",0.0893078235815817,"control1_seedlings",20,"No Expression",65
"135","Gene40","H4K12ac",0.0677035309280649,"control1_seedlings",40,"No Expression",65
"136","Gene60","H4K12ac",0.0158733391030594,"control1_seedlings",60,"No Expression",65
"137","Gene80","H4K12ac",0.0033942388971811,"control1_seedlings",80,"No Expression",65
"138","Gene100","H4K12ac",0,"control1_seedlings",100,"No Expression",65
"139","Downstream","H4K12ac",0.0169230769230769,"control1_seedlings",120,"No Expression",65
"140","DownstreamIntergenic","H4K12ac",0,"control1_seedlings",140,"No Expression",65
"141","UpstreamIntergenic","H3K27me1",0,"control1_seedlings",-60,"No Expression",65
